ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,LIBERO usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Spatial,Object,Goal,Long/10,Spatial previous SOTA success rate,Spatial previous SOTA name,Object previous SOTA success rate,Object previous SOTA name,Goal previous SOTA success rate,Goal previous SOTA name,Long/10 previous SOTA success rate,Long/10 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
1,Transactions of the Linnean Society of London.,1833,"London :[The Society], 1791-1875.","London :[The Society], 1791-1875.",harvested source venue/status metadata,medium,,n/a,n/a,,"CORE term search: ""LIBERO-Long""","CORE full-text/metadata term match for '""LIBERO-Long""'; manual citation audit required.",term-only,http://www.biodiversitylibrary.org/item/13695; https://core.ac.uk/download/pdf/4511030.pdf; https://core.ac.uk/image/4511030/large; https://core.ac.uk/reader/4511030; https://core.ac.uk/works/2133755,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
2,Conspectus Cyclostomaceorum emendatus et auctus. Pneumonopomorum monographiae prodromus,1852,unknown article venue,unknown article venue,harvested source venue/status metadata,medium,,n/a,n/a,10.5962/bhl.title.10657,"OpenAlex term search: ""LIBERO-Long""","OpenAlex term search matched '""LIBERO-Long""'; manual citation audit required.",term-only,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10309446-0; http://nbn-resolving.de/urn:nbn:de:bvb:12-bsb10309446-0; https://doi.org/10.5962/bhl.title.10657; https://openalex.org/W2477534256; https://www.biodiversitylibrary.org/bibliography/10657; https://www.biodiversitylibrary.org/item/41674; https://www.biodiversitylibrary.org/itempdf/41674,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
3,A. Arten der östlichen Halbkugel,1871,Deutsche Entomologische Zeitschrift,Deutsche Entomologische Zeitschrift,harvested source venue/status metadata,medium,,n/a,n/a,10.1002/mmnd.18710150304,"OpenAlex term search: ""LIBERO-Long""","OpenAlex term search matched '""LIBERO-Long""'; manual citation audit required.",term-only,https://doi.org/10.1002/mmnd.18710150304; https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mmnd.18710150304; https://openalex.org/W4241942074; https://www.biodiversitylibrary.org/part/210109,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
4,I traffici marittimi della Sardegna,1956,Bollettino della Società Geografica Italiana,Bollettino della Società Geografica Italiana,harvested source venue/status metadata,medium,,n/a,n/a,10.36253/bsgi-5810,"OpenAlex term search: ""LIBERO-10""","OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.",term-only,https://doi.org/10.36253/bsgi-5810; https://openalex.org/W7115570834; https://www.bsgi.it/index.php/bsgi/article/download/5810/5128,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
5,La genesis de la conciencia liberal en Mexico.,1971,Hispanic American Historical Review,Hispanic American Historical Review,harvested source venue/status metadata,medium,,n/a,n/a,10.2307/2512486,"OpenAlex term search: ""LIBERO-10""","OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.",term-only,https://doi.org/10.2307/2512486; https://openalex.org/W3153086138; https://ru.dgb.unam.mx/handle/DGB_UNAM/TES01000119053; https://www.jstor.org/institutionSearch?redirectUri=%2fstable%2f2512486,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
6,Giudicativi e enunciate modali,1972,Linguistica,Linguistica,"DOI landing page https://doi.org/10.4312/linguistica.12.1.103-105 lists Linguistica, 1972, DOI 10.4312/linguistica.12.1.103-105.",high,,n/a,n/a,10.4312/linguistica.12.1.103-105,"CORE term search: ""LIBERO-10""","CORE full-text/metadata term match for '""LIBERO-10""'; manual citation audit required.",term-only,https://core.ac.uk/download/294838616.pdf; https://core.ac.uk/image/294838616/large; https://core.ac.uk/reader/294838616; https://core.ac.uk/works/81798850; https://doaj.org/toc/2350-420X; https://doi.org/10.4312/linguistica.12.1.103-105; https://journals.uni-lj.si/linguistica/article/download/5323/5009; https://revije.ff.uni-lj.si/linguistica/article/download/5323/5009,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
7,A Critical Text of the Gratiarum Actio and the Cupido Cruciatur of D. Magnus Ausonius,1974,Loyola eCommons,Loyola eCommons,harvested source venue/status metadata,medium,,n/a,n/a,,"CORE term search: ""LIBERO-90""","CORE full-text/metadata term match for '""LIBERO-90""'; manual citation audit required.",term-only,https://core.ac.uk/download/48608514.pdf; https://core.ac.uk/image/48608514/large; https://core.ac.uk/reader/48608514; https://core.ac.uk/works/27578424,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
8,"Latinske komponente u Tommaseovu romanu ""Fede e belezza""",1983,Institute for Classical Languages and Ancient Civilizations Latina et Graeca,Institute for Classical Languages and Ancient Civilizations Latina et Graeca,harvested source venue/status metadata,medium,,n/a,n/a,,"CORE term search: ""LIBERO-10""","CORE full-text/metadata term match for '""LIBERO-10""'; manual citation audit required.",term-only,https://core.ac.uk/download/224979618.pdf; https://core.ac.uk/image/224979618/large; https://core.ac.uk/reader/224979618; https://core.ac.uk/works/65486504; https://hrcak.srce.hr/file/326134,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
9,Het voorkomen van merkverwarring : Adverteert u voor uw concurrent,1988,Data Archiving and Networked Services (DANS),Data Archiving and Networked Services (DANS),harvested source venue/status metadata,medium,,n/a,n/a,,"CORE term search: ""LIBERO-10""; OpenAlex term search: ""LIBERO-10""","CORE full-text/metadata term match for '""LIBERO-10""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.",term-only,http://www.loc.gov/mods/v3; https://core.ac.uk/download/420781027.pdf; https://core.ac.uk/image/420781027/large; https://core.ac.uk/reader/420781027; https://core.ac.uk/works/111978443; https://openalex.org/W1513970470; https://pure.uvt.nl/ws/files/596362/voorvame.pdf; https://research.tilburguniversity.edu/en/publications/6300d25f-21db-466d-8452-f20b286d2510,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
10,Wooster Square : revisiting urban renewal,1988,Massachusetts Institute of Technology,Massachusetts Institute of Technology,harvested source venue/status metadata,medium,,n/a,n/a,,"CORE term search: ""LIBERO-10""","CORE full-text/metadata term match for '""LIBERO-10""'; manual citation audit required.",term-only,http://dspace.mit.edu/bitstream/1721.1/77854/2/19055258-MIT.pdf; https://core.ac.uk/download/10129457.pdf; https://core.ac.uk/image/10129457/large; https://core.ac.uk/reader/10129457; https://core.ac.uk/works/4451347,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for source-audit coverage; not a countable LIBERO citation/result row.,n/a,,
