benchmark,track,paper_name,source_csv,source_line,current_column,previous_sota_column,current_score,previous_sota_score,reported_delta,score_unit,previous_sota_scaled_count,current_scaled_count,previous_sota_count,current_count,previous_sota_rounding_residual,current_rounding_residual,count_rounding_method,count_delta,T,S,R,alpha,z_critical,necessary_count_delta,sufficient_count_delta,necessary_score_delta,sufficient_score_delta,category,notes
LIBERO,spatial,Diffusion Transformer Policy,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,6,libero_spatial,libero_spatial_prev_sota,84.2,84.9,-0.7,percent,424.5,421,425,421,-0.5,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,-4,10,50,1,0.05,1.644853627,3,19,0.6,3.8,no_improvement,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,ActDistill: General Action-Guided Self-Derived Distillation for Efficient Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,21,libero_spatial,libero_spatial_prev_sota,81.8,84.4,-2.6,percent,422,409,422,409,5.684341886e-14,0,python_round_nearest_even_matches_significance_cutoffs,-13,10,50,1,0.05,1.644853627,3,20,0.6,4,no_improvement,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,AsyncVLA: Asynchronous Flow Matching for Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,24,libero_spatial,libero_spatial_prev_sota,98.4,98.8,-0.4,percent,494,492,494,492,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,-2,10,50,1,0.05,1.644853627,3,5,0.6,1,no_improvement,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,BitVLA: 1-bit Vision-Language-Action Models for Robotics Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,30,libero_spatial,libero_spatial_prev_sota,96.6,97.6,-1,percent,488,483,488,483,0,0,python_round_nearest_even_matches_significance_cutoffs,-5,10,50,1,0.05,1.644853627,3,7,0.6,1.4,no_improvement,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,CLIP-RT: Learning Language-Conditioned Robotic Policies from Natural Language Supervision,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,32,libero_spatial,libero_spatial_prev_sota,95.2,96.2,-1,percent,481,476,481,476,5.684341886e-14,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,-5,10,50,1,0.05,1.644853627,3,9,0.6,1.8,no_improvement,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Compressor-VLA: Instruction-Guided Visual Token Compression for Efficient Robotic Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,35,libero_spatial,libero_spatial_prev_sota,98.8,99,-0.2,percent,495,494,495,494,0,0,python_round_nearest_even_matches_significance_cutoffs,-1,10,50,1,0.05,1.644853627,3,5,0.6,1,no_improvement,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Conditioning Matters: Training Diffusion Policies is Faster Than You Think,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,36,libero_spatial,libero_spatial_prev_sota,97.5,97.6,-0.1,percent,488,487.5,488,488,0,-0.5,python_round_nearest_even_matches_significance_cutoffs,0,10,50,1,0.05,1.644853627,3,7,0.6,1.4,no_improvement,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,CronusVLA: Towards Efficient and Robust Manipulation via Multi-Frame Vision-Language-Action Modeling,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,39,libero_spatial,libero_spatial_prev_sota,97.3,97.6,-0.3,percent,488,486.5,488,486,0,0.5,python_round_nearest_even_matches_significance_cutoffs,-2,10,50,1,0.05,1.644853627,3,7,0.6,1.4,no_improvement,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,D2E: Scaling Vision-Action Pretraining on Desktop Data for Transfer to Embodied AI,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,41,libero_spatial,libero_spatial_prev_sota,95.8,98,-2.2,percent,490,479,490,479,0,0,python_round_nearest_even_matches_significance_cutoffs,-11,10,50,1,0.05,1.644853627,3,7,0.6,1.4,no_improvement,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Decoupled Action Expert: Confining Task Knowledge to the Conditioning Pathway,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,42,libero_spatial,libero_spatial_prev_sota,87.1,89.5,-2.4,percent,447.5,435.5,448,436,-0.5,-0.5,python_round_nearest_even_matches_significance_cutoffs,-12,10,50,1,0.05,1.644853627,3,16,0.6,3.2,no_improvement,Per-suite binary success rate over 10 tasks x 50 official trials.
