suite,task_id,task_name,task_description,episode_idx,instance_id,total_episode_idx,policy_name,checkpoint_ref,initial_states_path,success,num_env_steps,error_type,elapsed_s,package_policy_slug
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,0,libero_goal/open_the_middle_drawer_of_the_cabinet/0000,0,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,118,,17.209,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,1,libero_goal/open_the_middle_drawer_of_the_cabinet/0001,1,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,123,,17.445,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,2,libero_goal/open_the_middle_drawer_of_the_cabinet/0002,2,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,126,,17.597,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,3,libero_goal/open_the_middle_drawer_of_the_cabinet/0003,3,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,115,,16.639,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,4,libero_goal/open_the_middle_drawer_of_the_cabinet/0004,4,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,149,,19.129,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,5,libero_goal/open_the_middle_drawer_of_the_cabinet/0005,5,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,117,,16.795,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,6,libero_goal/open_the_middle_drawer_of_the_cabinet/0006,6,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,116,,16.707,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,7,libero_goal/open_the_middle_drawer_of_the_cabinet/0007,7,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,122,,17.243,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,8,libero_goal/open_the_middle_drawer_of_the_cabinet/0008,8,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,114,,17.680,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,9,libero_goal/open_the_middle_drawer_of_the_cabinet/0009,9,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,112,,17.577,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,10,libero_goal/open_the_middle_drawer_of_the_cabinet/0010,10,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,122,,17.871,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,11,libero_goal/open_the_middle_drawer_of_the_cabinet/0011,11,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,118,,17.067,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,12,libero_goal/open_the_middle_drawer_of_the_cabinet/0012,12,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,115,,16.536,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,13,libero_goal/open_the_middle_drawer_of_the_cabinet/0013,13,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,115,,16.941,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,14,libero_goal/open_the_middle_drawer_of_the_cabinet/0014,14,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,120,,17.167,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,15,libero_goal/open_the_middle_drawer_of_the_cabinet/0015,15,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,116,,16.684,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,16,libero_goal/open_the_middle_drawer_of_the_cabinet/0016,16,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,120,,17.151,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,17,libero_goal/open_the_middle_drawer_of_the_cabinet/0017,17,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,117,,16.936,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,18,libero_goal/open_the_middle_drawer_of_the_cabinet/0018,18,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,122,,17.509,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,19,libero_goal/open_the_middle_drawer_of_the_cabinet/0019,19,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,117,,17.780,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,20,libero_goal/open_the_middle_drawer_of_the_cabinet/0020,20,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,120,,17.777,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,21,libero_goal/open_the_middle_drawer_of_the_cabinet/0021,21,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,114,,17.343,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,22,libero_goal/open_the_middle_drawer_of_the_cabinet/0022,22,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,119,,19.220,pi05_n_action_steps_10
libero_goal,0,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,23,libero_goal/open_the_middle_drawer_of_the_cabinet/0023,23,pi05_lerobot,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/checkpoints/pi05-libero-finetuned,/share/data/ripl/tianchong/projects/Eval_Policies_CoRL/artifacts/libero/init_state_goal_5000,1,127,,17.576,pi05_n_action_steps_10
