benchmark,track,paper_name,source_csv,source_line,current_column,previous_sota_column,current_score,previous_sota_score,reported_delta,score_unit,previous_sota_scaled_count,current_scaled_count,previous_sota_count,current_count,previous_sota_rounding_residual,current_rounding_residual,count_rounding_method,count_delta,T,S,R,alpha,z_critical,necessary_count_delta,sufficient_count_delta,necessary_score_delta,sufficient_score_delta,category,notes
LIBERO,spatial,Depth Helps: Improving Pre-trained RGB-based Policy with Depth Information Injection,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,5,libero_spatial,libero_spatial_prev_sota,71.2,69.6,1.6,percent,348,356,348,356,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,8,10,50,1,0.05,1.644853627,3,28,0.6,5.6,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,GRAPE: Generalizing Robot Policy via Preference Alignment,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,9,libero_spatial,libero_spatial_prev_sota,85,84.2,0.8,percent,421,425,421,425,5.684341886e-14,0,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,20,0.6,4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,MaIL: Improving Imitation Learning with Mamba,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,10,libero_spatial,libero_spatial_prev_sota,53.8,47.3,6.5,percent,236.5,269,236,269,0.5,-5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,33,10,50,1,0.05,1.644853627,3,37,0.6,7.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Quantization-Aware Imitation-Learning for Resource-Efficient Robotic Control,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,14,libero_spatial,libero_spatial_prev_sota,84.4,83.6,0.8,percent,418,422,418,422,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,20,0.6,4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,TraceVLA: Visual Trace Prompting Enhances Spatial-Temporal Awareness for Generalist Robotic Policies,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,18,libero_spatial,libero_spatial_prev_sota,84.6,82.6,2,percent,413,423,413,423,0,0,python_round_nearest_even_matches_significance_cutoffs,10,10,50,1,0.05,1.644853627,3,21,0.6,4.2,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,4D-VLA: Spatiotemporal Vision-Language-Action Pretraining with Cross-Scene Calibration,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,20,libero_spatial,libero_spatial_prev_sota,88.9,88.2,0.7,percent,441,444.5,441,444,0,0.5,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,17,0.6,3.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Action-aware Dynamic Pruning for Efficient Vision-Language-Action Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,22,libero_spatial,libero_spatial_prev_sota,99.4,98.6,0.8,percent,493,497,493,497,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,5,0.6,1,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,ActionSink: Toward Precise Robot Manipulation with Dynamic Integration of Action Flow,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,23,libero_spatial,libero_spatial_prev_sota,72.83,69.17,3.66,percent,345.85,364.15,346,364,-0.15,0.15,python_round_nearest_even_matches_significance_cutoffs,18,10,50,1,0.05,1.644853627,3,28,0.6,5.6,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Audio-VLA: Adding Contact Audio Perception to Vision-Language-Action Model for Robotic Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,26,libero_spatial,libero_spatial_prev_sota,98.3,97.6,0.7,percent,488,491.5,488,492,0,-0.5,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,BadVLA: Towards Backdoor Attacks on Vision-Language-Action Models via Objective-Decoupled Optimization,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,27,libero_spatial,libero_spatial_prev_sota,96.7,95,1.7,percent,475,483.5,475,484,0,-0.5,python_round_nearest_even_matches_significance_cutoffs,9,10,50,1,0.05,1.644853627,3,11,0.6,2.2,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Beyond Human Demonstrations: Diffusion-Based Reinforcement Learning to Generate Data for VLA Training,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,29,libero_spatial,libero_spatial_prev_sota,83.4,80.4,3,percent,402,417,402,417,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,15,10,50,1,0.05,1.644853627,3,22,0.6,4.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,CogVLA: Cognition-Aligned Vision-Language-Action Model via Instruction-Driven Routing &amp; Sparsification,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,34,libero_spatial,libero_spatial_prev_sota,98.6,98,0.6,percent,490,493,490,493,0,0,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,38,libero_spatial,libero_spatial_prev_sota,87.5,84.7,2.8,percent,423.5,437.5,424,438,-0.5,-0.5,python_round_nearest_even_matches_significance_cutoffs,14,10,50,1,0.05,1.644853627,3,20,0.6,4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Dejavu: Towards Experience Feedback Learning for Embodied Intelligence,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,44,libero_spatial,libero_spatial_prev_sota,98.2,97.5,0.7,percent,487.5,491,488,491,-0.5,0,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Fast ECoT: Efficient Embodied Chain-of-Thought via Thoughts Reuse,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,60,libero_spatial,libero_spatial_prev_sota,85,84,1,percent,420,425,420,425,0,0,python_round_nearest_even_matches_significance_cutoffs,5,10,50,1,0.05,1.644853627,3,20,0.6,4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Fine-Tuning Vision-Language-Action Models: Optimizing Speed and Success,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,63,libero_spatial,libero_spatial_prev_sota,97.6,96.8,0.8,percent,484,488,484,488,0,0,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,9,0.6,1.8,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Focusing on What Matters: Object-Agent-centric Tokenization for Vision Language Action models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,65,libero_spatial,libero_spatial_prev_sota,87.3,84.7,2.6,percent,423.5,436.5,424,436,-0.5,0.5,python_round_nearest_even_matches_significance_cutoffs,12,10,50,1,0.05,1.644853627,3,20,0.6,4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Goal-oriented Backdoor Attack against Vision-Language-Action Models via Physical Objects,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,70,libero_spatial,libero_spatial_prev_sota,97.5,96.8,0.7,percent,484,487.5,484,488,0,-0.5,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,9,0.6,1.8,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,HiMoE-VLA: Hierarchical Mixture-of-Experts for Generalist Vision-Language-Action Policies,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,73,libero_spatial,libero_spatial_prev_sota,98.2,97.6,0.6,percent,488,491,488,491,0,0,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Interactive Post-Training for Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,79,libero_spatial,libero_spatial_prev_sota,98.6,97.6,1,percent,488,493,488,493,0,0,python_round_nearest_even_matches_significance_cutoffs,5,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Mantis: A Versatile Vision-Language-Action Model with Disentangled Visual Foresight,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,89,libero_spatial,libero_spatial_prev_sota,98.8,98.2,0.6,percent,491,494,491,494,0,0,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,6,0.6,1.2,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,MemoryVLA: Perceptual-Cognitive Memory in Vision-Language-Action Models for Robotic Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,93,libero_spatial,libero_spatial_prev_sota,98.4,97.2,1.2,percent,486,492,486,492,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,6,10,50,1,0.05,1.644853627,3,8,0.6,1.6,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Reinforcement Fine-Tuning of Flow-Matching Policies for Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,101,libero_spatial,libero_spatial_prev_sota,97.2,96.4,0.8,percent,482,486,482,486,5.684341886e-14,0,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,9,0.6,1.8,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,RESample: A Robust Data Augmentation Framework via Exploratory Sampling for Robotic Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,102,libero_spatial,libero_spatial_prev_sota,96.4,95.2,1.2,percent,476,482,476,482,5.684341886e-14,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,6,10,50,1,0.05,1.644853627,3,11,0.6,2.2,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Rethinking Latent Redundancy in Behavior Cloning: An Information Bottleneck Approach for Robot Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,104,libero_spatial,libero_spatial_prev_sota,70.67,68,2.67,percent,340,353.35,340,353,0,0.35,python_round_nearest_even_matches_significance_cutoffs,13,10,50,1,0.05,1.644853627,3,29,0.6,5.8,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,SemanticVLA: Semantic-Aligned Sparsification and Enhancement for Efficient Robotic Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,112,libero_spatial,libero_spatial_prev_sota,98.6,97.6,1,percent,488,493,488,493,0,0,python_round_nearest_even_matches_significance_cutoffs,5,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Spatial-Aware VLA Pretraining through Visual-Physical Alignment from Human Videos,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,115,libero_spatial,libero_spatial_prev_sota,92.6,91.4,1.2,percent,457,463,457,463,0,-5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,6,10,50,1,0.05,1.644853627,3,15,0.6,3,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Spatial Forcing: Implicit Spatial Representation Alignment for Vision-language-action Model,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,116,libero_spatial,libero_spatial_prev_sota,99.4,98.4,1,percent,492,497,492,497,5.684341886e-14,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,5,10,50,1,0.05,1.644853627,3,6,0.6,1.2,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Model,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,117,libero_spatial,libero_spatial_prev_sota,88.2,84.7,3.5,percent,423.5,441,424,441,-0.5,0,python_round_nearest_even_matches_significance_cutoffs,17,10,50,1,0.05,1.644853627,3,20,0.6,4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Spec-VLA: Speculative Decoding for Vision-Language-Action Models with Relaxed Acceptance,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,118,libero_spatial,libero_spatial_prev_sota,85.8,85,0.8,percent,425,429,425,429,0,0,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,19,0.6,3.8,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,TGRPO: Fine-tuning Vision-Language-Action Model via Trajectory-wise Group Relative Policy Optimization,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,122,libero_spatial,libero_spatial_prev_sota,90.4,88.5,1.9,percent,442.5,452,442,452,0.5,0,python_round_nearest_even_matches_significance_cutoffs,10,10,50,1,0.05,1.644853627,3,17,0.6,3.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,"The Better You Learn, The Smarter You Prune: Towards Efficient Vision-language-action Models via Differentiable Token Pruning",leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,123,libero_spatial,libero_spatial_prev_sota,98.4,97.6,0.8,percent,488,492,488,492,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,VITA-VLA: Efficiently Teaching Vision-Language Models to Act via Action Expert Distillation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,132,libero_spatial,libero_spatial_prev_sota,98,96.4,1.6,percent,482,490,482,490,5.684341886e-14,0,python_round_nearest_even_matches_significance_cutoffs,8,10,50,1,0.05,1.644853627,3,9,0.6,1.8,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,VLA-Cache: Efficient Vision-Language-Action Manipulation via Adaptive Token Caching,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,134,libero_spatial,libero_spatial_prev_sota,98.3,97.8,0.5,percent,489,491.5,489,492,0,-0.5,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,VLA-Pruner: Temporal-Aware Dual-Level Visual Token Pruning for Efficient Vision-Language-Action Inference,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,135,libero_spatial,libero_spatial_prev_sota,97.3,95.8,1.5,percent,479,486.5,479,486,0,0.5,python_round_nearest_even_matches_significance_cutoffs,7,10,50,1,0.05,1.644853627,3,10,0.6,2,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Action Draft and Verify: A Self-Verifying Framework for Vision-Language-Action Model,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,148,libero_spatial,libero_spatial_prev_sota,98.4,97.8,0.6,percent,489,492,489,492,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,ATA: Bridging Implicit Reasoning with Attention-Guided and Action-Guided Inference for Vision-Language Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,154,libero_spatial,libero_spatial_prev_sota,98.6,97.6,1,percent,488,493,488,493,0,0,python_round_nearest_even_matches_significance_cutoffs,5,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,DualCoT-VLA: Visual-Linguistic Chain of Thought via Parallel Reasoning for Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,177,libero_spatial,libero_spatial_prev_sota,99.4,98.8,0.6,percent,494,497,494,497,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,5,0.6,1,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Efficient Long-Horizon Vision-Language-Action Models via Static-Dynamic Disentanglement,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,180,libero_spatial,libero_spatial_prev_sota,97.8,96.2,1.6,percent,481,489,481,489,5.684341886e-14,0,python_round_nearest_even_matches_significance_cutoffs,8,10,50,1,0.05,1.644853627,3,9,0.6,1.8,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,GST-VLA: Structured Gaussian Spatial Tokens for 3D Depth-Aware Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,191,libero_spatial,libero_spatial_prev_sota,98.2,97.1,1.1,percent,485.5,491,486,491,-0.5,0,python_round_nearest_even_matches_significance_cutoffs,5,10,50,1,0.05,1.644853627,3,8,0.6,1.6,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,JEPA-VLA: Video Predictive Embedding is Needed for VLA Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,196,libero_spatial,libero_spatial_prev_sota,97.2,96.2,1,percent,481,486,481,486,5.684341886e-14,0,python_round_nearest_even_matches_significance_cutoffs,5,10,50,1,0.05,1.644853627,3,9,0.6,1.8,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,LaMP: Learning Vision-Language-Action Policies with 3D Scene Flow as Latent Motion Prior,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,199,libero_spatial,libero_spatial_prev_sota,99.4,98.8,0.6,percent,494,497,494,497,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,5,0.6,1,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Learning to Accelerate Vision-Language-Action Models through Adaptive Visual Token Caching,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,207,libero_spatial,libero_spatial_prev_sota,85.6,84.4,1.2,percent,422,428,422,428,5.684341886e-14,0,python_round_nearest_even_matches_significance_cutoffs,6,10,50,1,0.05,1.644853627,3,20,0.6,4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Mask World Model: Predicting What Matters for Robust Robot Policy Learning,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,211,libero_spatial,libero_spatial_prev_sota,98.8,98.2,0.6,percent,491,494,491,494,0,0,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,6,0.6,1.2,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Neural Implicit Action Fields: From Discrete Waypoints to Continuous Functions for Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,215,libero_spatial,libero_spatial_prev_sota,98.2,97.1,1.1,percent,485.5,491,486,491,-0.5,0,python_round_nearest_even_matches_significance_cutoffs,5,10,50,1,0.05,1.644853627,3,8,0.6,1.6,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,ProgressVLA: Progress-Guided Diffusion Policy for Vision-Language Robotic Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,226,libero_spatial,libero_spatial_prev_sota,88.2,84.7,3.5,percent,423.5,441,424,441,-0.5,0,python_round_nearest_even_matches_significance_cutoffs,17,10,50,1,0.05,1.644853627,3,20,0.6,4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,ReViP: Mitigating False Completion in Vision-Language-Action Models with Vision-Proprioception Rebalance,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,235,libero_spatial,libero_spatial_prev_sota,99,98,1,percent,490,495,490,495,0,0,python_round_nearest_even_matches_significance_cutoffs,5,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,SimVLA: A Simple VLA Baseline for Robotic Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,247,libero_spatial,libero_spatial_prev_sota,99.6,98.8,0.8,percent,494,498,494,498,0,0,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,5,0.6,1,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,SmoothVLA: Aligning Vision-Language-Action Models with Physical Constraints via Intrinsic Smoothness Optimization,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,248,libero_spatial,libero_spatial_prev_sota,85.6,84.5,1.1,percent,422.5,428,422,428,0.5,0,python_round_nearest_even_matches_significance_cutoffs,6,10,50,1,0.05,1.644853627,3,20,0.6,4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,SnapFlow: One-Step Action Generation for Flow-Matching VLAs via Progressive Self-Distillation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,249,libero_spatial,libero_spatial_prev_sota,99,98,1,percent,490,495,490,495,0,0,python_round_nearest_even_matches_significance_cutoffs,5,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Thinking in Text and Images: Interleaved Vision--Language Reasoning Traces for Long-Horizon Robot Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,261,libero_spatial,libero_spatial_prev_sota,97.8,97,0.8,percent,485,489,485,489,0,0,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,8,0.6,1.6,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Towards Practical World Model-based Reinforcement Learning for Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,263,libero_spatial,libero_spatial_prev_sota,87.8,86,1.8,percent,430,439,430,439,0,0,python_round_nearest_even_matches_significance_cutoffs,9,10,50,1,0.05,1.644853627,3,19,0.6,3.8,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,VLA-InfoEntropy: A Training-Free Vision-Attention Information Entropy Approach for Vision-Language-Action Models Inference Acceleration and Success,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,274,libero_spatial,libero_spatial_prev_sota,86.4,85.8,0.6,percent,429,432,429,432,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,19,0.6,3.8,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,World-Value-Action Model: Implicit Planning for Vision-Language-Action Systems,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,280,libero_spatial,libero_spatial_prev_sota,99.6,98.8,0.8,percent,494,498,494,498,0,0,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,5,0.6,1,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Global Prior Meets Local Consistency: Dual-Memory Augmented Vision-Language-Action Model for Efficient Robotic Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,291,libero_spatial,libero_spatial_prev_sota,99.6,98.8,0.8,percent,494,498,494,498,0,0,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,5,0.6,1,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,HBVLA: Pushing 1-Bit Post-Training Quantization for Vision-Language-Action Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,293,libero_spatial,libero_spatial_prev_sota,89.3,87.2,2.1,percent,436,446.5,436,446,0,0.5,python_round_nearest_even_matches_significance_cutoffs,10,10,50,1,0.05,1.644853627,3,18,0.6,3.6,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,VAT: Vision Action Transformer by Unlocking Full Representation of ViT,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,295,libero_spatial,libero_spatial_prev_sota,98.8,97.6,1.2,percent,488,494,488,494,0,0,python_round_nearest_even_matches_significance_cutoffs,6,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,3D CAVLA: Leveraging Depth and 3D Context to Generalize Vision Language Action Models for Unseen Tasks,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,300,libero_spatial,libero_spatial_prev_sota,98.2,97.6,0.6,percent,488,491,488,491,0,0,python_round_nearest_even_matches_significance_cutoffs,3,10,50,1,0.05,1.644853627,3,7,0.6,1.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,BlockVLA: Accelerating Autoregressive VLA via Block Diffusion Finetuning,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,303,libero_spatial,libero_spatial_prev_sota,90.6,89.8,0.8,percent,449,453,449,453,0,-5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,16,0.6,3.2,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
