benchmark,track,paper_name,source_csv,source_line,current_column,previous_sota_column,current_score,previous_sota_score,reported_delta,score_unit,previous_sota_scaled_count,current_scaled_count,previous_sota_count,current_count,previous_sota_rounding_residual,current_rounding_residual,count_rounding_method,count_delta,T,S,R,alpha,z_critical,necessary_count_delta,sufficient_count_delta,necessary_score_delta,sufficient_score_delta,category,notes
LIBERO,spatial,Multimodal Diffusion Transformer: Learning Versatile Behavior from Multimodal Goals,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,11,libero_spatial,libero_spatial_prev_sota,78.5,71.8,6.7,percent,359,392.5,359,392,0,0.5,python_round_nearest_even_matches_significance_cutoffs,33,10,50,1,0.05,1.644853627,3,27,0.6,5.4,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,OpenVLA: An Open-Source Vision-Language-Action Model,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,12,libero_spatial,libero_spatial_prev_sota,84.7,78.9,5.8,percent,394.5,423.5,394,424,0.5,-0.5,python_round_nearest_even_matches_significance_cutoffs,30,10,50,1,0.05,1.644853627,3,23,0.6,4.6,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Robo-MUTUAL: Robotic Multimodal Task Specification via Unimodal Learning,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,16,libero_spatial,libero_spatial_prev_sota,72,44.1,27.9,percent,220.5,360,220,360,0.5,0,python_round_nearest_even_matches_significance_cutoffs,140,10,50,1,0.05,1.644853627,3,37,0.6,7.4,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Task-agnostic Lifelong Robot Learning with Retrieval-based Weighted Local Adaptation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,17,libero_spatial,libero_spatial_prev_sota,39.83,15.67,24.16,percent,78.35,199.15,78,199,0.35,0.15,python_round_nearest_even_matches_significance_cutoffs,121,10,50,1,0.05,1.644853627,3,23,0.6,4.6,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,3D Dynamics-Aware Manipulation: Endowing Manipulation Policies with 3D Foresight,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,19,libero_spatial,libero_spatial_prev_sota,96.4,94,2.4,percent,470,482,470,482,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,12,10,50,1,0.05,1.644853627,3,12,0.6,2.4,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Cross-Platform Scaling of Vision-Language-Action Models from Edge to Cloud GPUs,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,40,libero_spatial,libero_spatial_prev_sota,98,96.2,1.8,percent,481,490,481,490,5.684341886e-14,0,python_round_nearest_even_matches_significance_cutoffs,9,10,50,1,0.05,1.644853627,3,9,0.6,1.8,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Dita: Scaling Diffusion Transformer for Generalist Vision-Language-Action Policy,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,49,libero_spatial,libero_spatial_prev_sota,97.4,84.9,12.5,percent,424.5,487,425,487,-0.5,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,62,10,50,1,0.05,1.644853627,3,19,0.6,3.8,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,EnerVerse: Envisioning Embodied Future Space for Robotics Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,56,libero_spatial,libero_spatial_prev_sota,91.2,84.7,6.5,percent,423.5,456,424,456,-0.5,0,python_round_nearest_even_matches_significance_cutoffs,32,10,50,1,0.05,1.644853627,3,20,0.6,4,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,HyperVLA: Efficient Inference in Vision-Language-Action Models via Hypernetworks,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,76,libero_spatial,libero_spatial_prev_sota,95,85,10,percent,425,475,425,475,0,0,python_round_nearest_even_matches_significance_cutoffs,50,10,50,1,0.05,1.644853627,3,19,0.6,3.8,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,LoLA: Long Horizon Latent Action Learning for General Robot Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,88,libero_spatial,libero_spatial_prev_sota,99.6,91.4,8.2,percent,457,498,457,498,0,0,python_round_nearest_even_matches_significance_cutoffs,41,10,50,1,0.05,1.644853627,3,15,0.6,3,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
