ID,Benchmark,Candidate work,Year,ArXiv / DOI,Parsed arXiv,Parsed DOI,Found via,Match reason,Initial status,Link / notes,Paper available on arXiv,Audited arXiv ID,ArXiv URL,ArXiv evidence,ArXiv confidence,Benchmark numbers reported,Benchmark usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Reported numbers evidence,Reported numbers confidence,Audit notes,Audit batch
VLAB-000,VLABench,VLABench: A Large-Scale Benchmark for Language-Conditioned Robotics Manipulation with Long-Horizon Reasoning Tasks,,arXiv `2412.18194`; DOI `10.48550/arXiv.2412.18194`,2412.18194,10.48550/arXiv.2412.18194,seed identity,Canonical benchmark seed work.,seed-work,<https://arxiv.org/abs/2412.18194>; <https://doi.org/10.48550/arXiv.2412.18194> Provenance: seed identity: arXiv:2412.18194,yes,2412.18194,https://arxiv.org/abs/2412.18194,arXiv page https://arxiv.org/abs/2412.18194 lists the exact title VLABench: A Large-Scale Benchmark for Language-Conditioned Robotics Manipulation with Long-Horizon Reasoning Tasks.,high,yes,seed-work,"VLABench benchmark evaluations of fine-tuned pretrained VLAs across seen/unseen objects, knowledge transfer, semantic language, unseen similar tasks, and composite tasks; metric is Progress Score.",100 trajectories from each task category for fine-tuning,"Table 2 averages: visual/knowledge transfer PS seen/unseen - Octo base 1.34/0.77, Octo common sense 1.16/0.96, OpenVLA base 11.74/7.93, OpenVLA common sense 8.46/5.11, RDT-1B base 15.37/9.08, RDT-1B common sense 11.97/3.61; language instruction avg Octo 0.00, OpenVLA 4.15, RDT-1B 4.31; similar-task avg Octo 0.00, OpenVLA 4.46, RDT-1B 3.85; composite-task avg Octo 0.00, OpenVLA 2.66, RDT-1B 3.34.","arXiv PDF at https://arxiv.org/pdf/2412.18194, Section 4.1 and Table 2 Overall experiment result of generalization ability of fine-tuned VLAs; setup text states 100 trajectories from each task category.",high,Seed benchmark paper; extracted the main VLA result table rather than figures for workflow/VLM ablations.,batch_020
VLAB-001,VLABench,Overcoming Dynamics-Blindness: Training-Free Pace-and-Path Correction for VLA Models,2026,arXiv `2605.11459`,2605.11459,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2412.18194.,indexed-citation,"<https://arxiv.org/abs/2605.11459>; <https://www.semanticscholar.org/paper/6b1102d09df960602759180714ce894f11cbc079> Source IDs: S2 URL `https://www.semanticscholar.org/paper/6b1102d09df960602759180714ce894f11cbc079`; S2 CorpusId `288254542` Provenance: Semantic Scholar citation endpoint for arXiv:2412.18194: citing paper record | S2 context: …benchmarks have largely standardized around static settings, with widely used VLA evaluation suites such as LIBERO [13], CALVIN [14], ManiSkill [39, 40], RoboCasa [41], and VLABench [42] measuring long-horizon planning, language grounding, or skill transfer w",,,,,,,,,,,,,,
VLAB-002,VLABench,Drift is a Sampling Error: SNR-Aware Power Distributions for Long-Horizon Robotic Planning,2026,arXiv `2605.09537`,2605.09537,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2412.18194.,indexed-citation,"<https://arxiv.org/abs/2605.09537>; <https://www.semanticscholar.org/paper/4a21ae18b6b5047a12d7b8b2ef5dda86fd7f822e> Source IDs: S2 URL `https://www.semanticscholar.org/paper/4a21ae18b6b5047a12d7b8b2ef5dda86fd7f822e`; S2 CorpusId `288259065` Provenance: Semantic Scholar citation endpoint for arXiv:2412.18194: citing paper record | S2 context: To evaluate the generalization capability of CAPS, we designed a benchmark suite containing 10 real-world tasks aimed at inducing and evaluating different ”Instruction Drift” patterns.",,,,,,,,,,,,,,
VLAB-003,VLABench,Toward Visually Realistic Simulation: A Benchmark for Evaluating Robot Manipulation in Simulation,2026,arXiv `2605.06311`,2605.06311,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2412.18194.,indexed-citation,"<https://arxiv.org/abs/2605.06311>; <https://www.semanticscholar.org/paper/c05d1e95ddd72a9e8afc8e2b84285d7df548ffb2> Source IDs: S2 URL `https://www.semanticscholar.org/paper/c05d1e95ddd72a9e8afc8e2b84285d7df548ffb2`; S2 CorpusId `288014971` Provenance: Semantic Scholar citation endpoint for arXiv:2412.18194: citing paper record | S2 context: Existing benchmarks [21, 46, 24, 31, 19] mainly focus on domain randomization to mitigate the visual gap.",,,,,,,,,,,,,,
VLAB-004,VLABench,Anticipation-VLA: Solving Long-Horizon Embodied Tasks via Anticipation-based Subgoal Generation,2026,arXiv `2605.01772`,2605.01772,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2412.18194.,indexed-citation,"<https://arxiv.org/abs/2605.01772>; <https://www.semanticscholar.org/paper/bd7fa30cae7d5ef2191f4e62a6790fab37baf8c2> Source IDs: S2 URL `https://www.semanticscholar.org/paper/bd7fa30cae7d5ef2191f4e62a6790fab37baf8c2`; S2 CorpusId `287950406` Provenance: Semantic Scholar citation endpoint for arXiv:2412.18194: citing paper record | S2 context: VLABench (Zhang et al., 2025b) is a large-scale VLA benchmark focused on long-horizon reasoning and execution.",,,,,,,,,,,,,,
VLAB-005,VLABench,KinDER: A Physical Reasoning Benchmark for Robot Learning and Planning,2026,arXiv `2604.25788`,2604.25788,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2412.18194.,indexed-citation,<https://arxiv.org/abs/2604.25788>; <https://www.semanticscholar.org/paper/4f2730532e99b94be29dfe04c6fbc3d0ed9374a0> Source IDs: S2 URL `https://www.semanticscholar.org/paper/4f2730532e99b94be29dfe04c6fbc3d0ed9374a0`; S2 CorpusId `287834173` Provenance: Semantic Scholar citation endpoint for arXiv:2412.18194: citing paper record,,,,,,,,,,,,,,
VLAB-006,VLABench,"Vision-Language-Action in Robotics: A Survey of Datasets, Benchmarks, and Data Engines",2026,arXiv `2604.23001`,2604.23001,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2412.18194.,indexed-citation,"<https://arxiv.org/abs/2604.23001>; <https://www.semanticscholar.org/paper/243c6e23d30f0da8f4a0579de16850f4a82eb2f2> Source IDs: S2 URL `https://www.semanticscholar.org/paper/243c6e23d30f0da8f4a0579de16850f4a82eb2f2`; S2 CorpusId `287777411` Provenance: Semantic Scholar citation endpoint for arXiv:2412.18194: citing paper record | S2 context: For example, in CALVIN, success rates drop to 0.08 percent for five sequential instructions (Mees et al., 2022), while VLABench reports systematic failures in multi-step logical tasks (Zhang et al., 2024b).",,,,,,,,,,,,,,
VLAB-007,VLABench,Long-Horizon Manipulation via Trace-Conditioned VLA Planning,2026,arXiv `2604.21924`,2604.21924,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2412.18194.,indexed-citation,"<https://arxiv.org/abs/2604.21924>; <https://www.semanticscholar.org/paper/cacd33bdc201306af443eded0162c60eff589396> Source IDs: S2 URL `https://www.semanticscholar.org/paper/cacd33bdc201306af443eded0162c60eff589396`; S2 CorpusId `287702392` Provenance: Semantic Scholar citation endpoint for arXiv:2412.18194: citing paper record | S2 context: We evaluate our method across two simulation benchmarks: LIBERO [42] and VLABench [67], which provide a comprehensive assessment of both foundational manipulation and complex reasoning.",yes,2604.21924,https://arxiv.org/abs/2604.21924,arXiv page https://arxiv.org/abs/2604.21924 lists arXiv:2604.21924 and the exact candidate title.,high,yes,reports-results,"VLABench five public tracks: In Distribution, Cross Category, Common Sense, Semantic Instruction, Unseen Texture; appendix says each track has 50 tasks.",not reported,Table 4 VLABench scores: pi0-fast 0.29/0.18/0.21/0.20/0.24 Avg 0.22; pi0.5 0.37/0.22/0.21/0.17/0.25 Avg 0.24; LoHo-Manip 0.54/0.23/0.36/0.42/0.39 Avg 0.39.,"arXiv PDF https://arxiv.org/pdf/2604.21924, Sec. 3.3 'VLA in Simulation' and Table 4 'Performance comparisons on VLABench'; appendix describes the five VLABench evaluation tracks.",high,"Table metric is reported as track score with upward arrow, not explicitly labeled raw success rate in the table.",batch_021
VLAB-008,VLABench,Unmasking the Illusion of Embodied Reasoning in Vision-Language-Action Models,2026,arXiv `2604.18000`,2604.18000,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2412.18194.,indexed-citation,"<https://arxiv.org/abs/2604.18000>; <https://www.semanticscholar.org/paper/69316511ece6f00ee95461cb658448303db67de0> Source IDs: S2 URL `https://www.semanticscholar.org/paper/69316511ece6f00ee95461cb658448303db67de0`; S2 CorpusId `287634630` Provenance: Semantic Scholar citation endpoint for arXiv:2412.18194: citing paper record | S2 context: For instance, GemBench [39] evaluates robustness to novel placements, object instances, and temporal extensibility, and VLABench [40] incorporates new object categories and implicit language instructions.",,,,,,,,,,,,,,
VLAB-009,VLABench,LongBench: Evaluating Robotic Manipulation Policies on Real-World Long-Horizon Tasks,2026,arXiv `2604.16788`,2604.16788,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2412.18194.,indexed-citation,"<https://arxiv.org/abs/2604.16788>; <https://www.semanticscholar.org/paper/3a5593908bdfb20edc3476e05ab626ccef4d6f50> Source IDs: S2 URL `https://www.semanticscholar.org/paper/3a5593908bdfb20edc3476e05ab626ccef4d6f50`; S2 CorpusId `287618378` Provenance: Semantic Scholar citation endpoint for arXiv:2412.18194: citing paper record | S2 context: Data RLBench (James et al., 2020) × × × × CALVIN (Mees et al., 2022) × × × ✓ Libero-Long (Liu et al., 2023) × × × ✓ FurnitureBench (Heo et al., 2023) ✓ × × ✓ VLABench (Zhang et al., 2025) × ✓ × × RoboCasa (Zheng et al., 2024) × ✓ × ✓ RoboCerebra (Han et al., 2",,,,,,,,,,,,,,
