record_id,claim_ids,experiment,policy_or_model,artifact_kind,source_repo_or_model_id,upstream_revision,local_filename,file_size_bytes,sha256,identity_status,payload_included,evidence,notes
shortcut_libero_spatial_step13425,shortcut_libero,libero_spatial,DINO+MLP/task-id,first_party_checkpoint,ripl/Policy_Eval_Done_Right,4b9b24987cfe3b697fe0270f8c81c02311897f25,step13425.pt,1053083570,a90a90dd8bef74045741577fccfe43539ad963cb720beb4ab35e01c7d63a36b8,verified_local_sha256,false,artifact_manifest_config_sha256=10a10a51e8bc39838e5a0e2e9fc20f6d3ffe1e20023d335728f9edc9fa5d5f80,Binary checkpoint excluded.
shortcut_libero_object_step16110,shortcut_libero,libero_object,DINO+MLP/task-id,first_party_checkpoint,ripl/Policy_Eval_Done_Right,4b9b24987cfe3b697fe0270f8c81c02311897f25,step16110.pt,1053083570,584cdf82bb1f85a5fd0ba062a6ce1f81cb851298a4fbd37d9dafd39897acd661,verified_local_sha256,false,artifact_manifest_config_sha256=2b06d4f2ab44a93d72413eba641a287ba63d480e9c939d6de34d380b48731986,Binary checkpoint excluded.
shortcut_libero_goal_step5370,shortcut_libero,libero_goal,DINO+MLP/task-id,first_party_checkpoint,ripl/Policy_Eval_Done_Right,4b9b24987cfe3b697fe0270f8c81c02311897f25,step5370.pt,1053082826,6667e31941a63b0ce8d5614bb9e49c23576bd2bafd5012bf42aef46b6326e390,verified_local_sha256,false,artifact_manifest_config_sha256=83244400720d4f1cec9c26c3cd0205f2e56e36e8154aace518524a017aa8a9f5,Binary checkpoint excluded.
shortcut_libero_10_step15215,shortcut_libero,libero_10,DINO+MLP/task-id,first_party_checkpoint,ripl/Policy_Eval_Done_Right,4b9b24987cfe3b697fe0270f8c81c02311897f25,step15215.pt,1053083570,3cdc73f7d829b98466b7e5fef2389018f556c3f7c668e9a2b5655cca48e9d10a,verified_local_sha256,false,artifact_manifest_config_sha256=1ac1d09cb44642e8f3b6b4c2768f8786706dd4c9605303848366b4dbc56dc528,Binary checkpoint excluded.
shortcut_calvin_dd_step40000,shortcut_calvin,calvin_D_D,DINO+MLP/task-id,first_party_checkpoint,ripl/Policy_Eval_Done_Right_calvin_DD_paper_may18,8ca19ef58a6ac80b9caaf0146644868c5803791d,step40000.pt,1097137089,431ac14a8ed5f3658f744e6eeed79cb467db47b74383dd6a7db097805ee1c6e8,verified_local_sha256,false,artifact_manifest_config_sha256=f6f3da90f4b14d0d362e7f4227779832c3e1a59c746d06740723571e68a87bb4,Binary checkpoint excluded.
shortcut_calvin_abcd_step100000,shortcut_calvin,calvin_ABCD_D,DINO+MLP/task-id,first_party_checkpoint,ripl/Policy_Eval_Done_Right,b11e4b24db157884782db5355b2af6b2603d2175,step100000.pt,1097137774,b4e722c94304c62c3e8883e2080e529a23ff79b346394d7fe0cab1d79e577cb5,verified_local_sha256,false,artifact_manifest_config_sha256=3e13bbaa049ad0121f76194dcedb06166827375419ad9644758181b6b92db5b4,Binary checkpoint excluded.
shortcut_calvin_abc_step100000_supporting,shortcut_calvin,calvin_ABC_D,DINO+MLP/task-id,first_party_checkpoint,ripl/Policy_Eval_Done_Right,unknown,step100000.pt,1097137774,a3e0ac8581e23de414b5e930b7ae932e1d4f9376c1890566e8aca987e3877c73,best_effort_local_sha256_no_manifest,false,local_checkpoint_hash_from_outputs_may13_ABC,Supporting row only because the full official artifact manifest was not recovered.
shortcut_dino_backbone_identity_unknown,shortcut_libero;shortcut_calvin,shortcut_dino_mlp,DINO or DINOv2 backbone,pretrained_backbone,unknown,unknown,unknown,unknown,unknown,unknown_backbone_identity,false,released_configs_vision_backbone=dino,Exact pretrained backbone file identity was not recovered.
dsd_stack_checkpoint,widowx_scripted_dsd_91_of_96,widowx_stack_scripted,DINOv2 ViT-S MLP BC,first_party_checkpoint,ripl/Data_Source_Dependency_CoRL,ef88a2cb23e754307b5f70053e820d3c437bec49,step6500.pt,309107760,ba17255d8ec54df354de2d190a03cea137f4cbb3db14c09915a540e5751824b1,verified_local_sha256,false,DSD artifact manifest widowx_vits_mlp stack,Binary checkpoint excluded.
dsd_carrot_checkpoint,widowx_scripted_dsd_91_of_96,widowx_carrot_scripted,DINOv2 ViT-S MLP BC,first_party_checkpoint,ripl/Data_Source_Dependency_CoRL,ef88a2cb23e754307b5f70053e820d3c437bec49,step10000.pt,309108587,3d57148df6fe08e046fcc84f7b1977989adb18ee555ac1fb5d4137a8dc2afe39,verified_local_sha256,false,DSD artifact manifest widowx_vits_mlp carrot,Binary checkpoint excluded.
dsd_spoon_checkpoint,widowx_scripted_dsd_91_of_96,widowx_spoon_scripted,DINOv2 ViT-S MLP BC,first_party_checkpoint,ripl/Data_Source_Dependency_CoRL,ef88a2cb23e754307b5f70053e820d3c437bec49,step10000.pt,309108587,2ca05b49ef67aa6d91320fcd8d2358095bd0022e711509aafcd0ea14d96cf4c6,verified_local_sha256,false,DSD artifact manifest widowx_vits_mlp spoon,Binary checkpoint excluded.
dsd_eggplant_checkpoint,widowx_scripted_dsd_91_of_96,widowx_eggplant_scripted,DINOv2 ViT-S MLP BC,first_party_checkpoint,ripl/Data_Source_Dependency_CoRL,ef88a2cb23e754307b5f70053e820d3c437bec49,step10000.pt,309108587,479f87b4bf54950a725e3f8db45845bab6e59399e364e05816122d9cd5e32631,verified_local_sha256,false,DSD artifact manifest widowx_vits_mlp eggplant,Binary checkpoint excluded.
dsd_dinov2_vits14_backbone_unknown,widowx_scripted_dsd_91_of_96,widowx_scripted_dsd,dinov2_vits14 backbone,pretrained_backbone,unknown,unknown,unknown,unknown,unknown,unknown_backbone_identity,false,public DSD config dino_model=dinov2_vits14,Exact DINOv2 backbone file hash was not recovered.
calvin_xvla_model,calvin_protocol1;calvin_fresh_sequence,calvin_ABC_D,X-VLA,third_party_policy,2toINF/X-VLA-Calvin-ABC_D,d76710ee314ee1fa8506f421664c989b40bae415,model.safetensors,3519068172,98813bb2063fa62f8ffb21696546005b61defca6c0724adeab524c8f82f84bd4,verified_local_sha256,false,Eval_Policies_CoRL release_metadata checkpoint_hashes.sha256,Binary checkpoint excluded.
calvin_gr1_snapshot,calvin_protocol1;calvin_fresh_sequence,calvin_ABC_D,GR-1,third_party_policy,GR-1 local checkpoint,unknown,snapshot_ABC.pt,196921765,7f92a1674c0af70bcf8ee119192c532670eb63134e2432c9aacbc1d01a76ac6b,verified_local_sha256,false,Eval_Policies_CoRL release_metadata checkpoint_hashes.sha256,Binary checkpoint excluded.
calvin_gr1_mae_pretrain,calvin_protocol1;calvin_fresh_sequence,calvin_ABC_D,GR-1 MAE pretrain,third_party_backbone,GR-1 local checkpoint,unknown,mae_pretrain_vit_base.pth,343249461,aec5f0b68e5f3193a00b07bc65a37440db549c15b36b8bea242606cc40c4bc5d,verified_local_sha256,false,Eval_Policies_CoRL release_metadata checkpoint_hashes.sha256,Binary checkpoint excluded.
