ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,CALVIN usage,Evaluation protocol,Demos per task,Reported benchmark numbers,ABC D average task completed,ABCD D average task completed,D D average task completed,ABC D 5/5 chain success rate,ABCD D 5/5 chain success rate,D D 5/5 chain success rate,DD previous SOTA ATC,DD previous SOTA name,ABCD previous SOTA ATC,ABCD previous SOTA name,ABCDD previous SOTA ATC,ABCDD previous SOTA name,ABCD previous SOTA 5/5 chain success rate,ABCDD previous SOTA 5/5 chain success rate,DD previous SOTA 5/5 chain success rate,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
1,CALVIN: A Benchmark for Language-Conditioned Policy Learning for Long-Horizon Robot Manipulation Tasks,2022,IEEE Robotics and Automation Letters,IEEE Robotics and Automation Letters,OpenAlex primary location metadata,medium,2112.03227,2021-12-06,arXiv API published date for 2112.03227,10.1109/LRA.2022.3180108,CORE term search; Crossref metadata title search - CALVIN seed; Crossref term search - CALVIN robot benchmark; OpenAlex term search - CALVIN benchmark robot; OpenAlex term search - Composing Actions from Language and Vision; OpenReview term search; Seed metadata; arXiv term search - CALVIN benchmark robot; arXiv term search - project URL,CALVIN seed work; CALVIN term/full-text metadata match; CALVIN term/metadata match; canonical CALVIN seed work,seed-work,http://arxiv.org/abs/2112.03227; https://arxiv.org/abs/2112.03227; https://doi.org/10.1109/lra.2022.3180108; https://openreview.net/forum?id=lA3l7DYFQq; OpenAlex: W4200635284; OpenAlex: W4226073959,seed-work,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Canonical CALVIN benchmark seed paper.,n/a,,
2,χ0: Resource-Aware Robust Manipulation via Taming Distributional Inconsistencies,2026,arXiv.org,n/a,n/a,n/a,2602.09021,2026-02-09,arXiv API published date for 2602.09021,10.48550/arXiv.2602.09021,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/0c60f37d6abe1a65a7e6185330f14b6573025914; Semantic Scholar: 0c60f37d6abe1a65a7e6185330f14b6573025914,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
3,3D Generation for Embodied AI and Robotic Simulation: A Survey,2026,preprint/unknown,n/a,n/a,n/a,2604.26509,2026-04-29,arXiv API published date for 2604.26509,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/1abf5de6710b4266f7b4d7844ac469c8dbad7ec4; Semantic Scholar: 1abf5de6710b4266f7b4d7844ac469c8dbad7ec4,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
4,A Comprehensive Review of Generative Physical Artificial Intelligence,2026,IEEE Internet of Things Journal,n/a,n/a,n/a,,n/a,n/a,10.1109/JIOT.2026.3671268,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/55c8dd8ab1f1a91812469d47669377c974f33cda; Semantic Scholar: 55c8dd8ab1f1a91812469d47669377c974f33cda,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
5,AdaWorldPolicy: World-Model-Driven Diffusion Policy with Online Adaptive Learning for Robotic Manipulation,2026,arXiv.org,n/a,n/a,n/a,2602.20057,2026-02-23,arXiv API published date for 2602.20057,10.48550/arXiv.2602.20057,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/b35dac4324ffef003848f77d6b1ce7a2642dea23; Semantic Scholar: b35dac4324ffef003848f77d6b1ce7a2642dea23,reports-results,abc-d,not reported,"CALVIN ABC->D Table 3 reports AWP success rates 91.8/79.2/68.5/62.8/48.0 with Avg. Len. 3.51 +/- 0.03, and AWP (ol) success rates 92.0/79.6/68.6/63.0/48.0 with Avg. Len. 3.54 +/- 0.04.",3.54,,,48.0,,,,,3.42,GR-MG,,,47.7,,,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2602.20057.txt, Section 4.1 says the paper uses only the ABC->D protocol; Table 3 is captioned as CALVIN cross-domain ABC training, D evaluation and reports Avg. Len. for AWP and AWP (ol).",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2602.20057.txt, Section 4.1 says the paper uses only the ABC->D protocol; Table 3 is captioned as CALVIN cross-domain ABC training, D evaluation and reports Avg. Len. for AWP and AWP (ol).",high,official-ish,"Reports CALVIN ABC->D cross-domain D evaluation with Avg. Len. 3.54, matching the standard long-horizon ATC-style protocol."
6,A Dual-System Vision-Language-Action Model for Rational Manipulation,2026,IEEE/ASME Transactions on Mechatronics,IEEE/ASME Transactions on Mechatronics,OpenAlex primary location metadata,medium,2506.10826,2025-06-12,arXiv API published date for 2506.10826,10.1109/tmech.2026.3658581,OpenAlex term search - CALVIN benchmark robot; OpenAlex term search - CALVIN robot topic; Semantic Scholar citation graph; Subagent arXiv metadata audit,CALVIN RA-L DOI; CALVIN arXiv ID; CALVIN term/metadata match; Subagent arXiv metadata audit matched the same-paper arXiv version `RationalVLA: A Rational Vision-Language-Action Model with Dual System` by title/method/authors against the published DOI record.,indexed-citation,https://arxiv.org/abs/2506.10826; https://doi.org/10.1109/tmech.2026.3658581; https://www.semanticscholar.org/paper/ad18c4ae4f3956d11896fe5645bcdd392745201a; OpenAlex: W7130321404; Semantic Scholar: ad18c4ae4f3956d11896fe5645bcdd392745201a,reports-results,abc-d,not reported,"Classic CALVIN ABC->D Table III reports RationalVLA on D with task-completed-in-a-row rates 95.7/83.0/68.3/58.0/48.0 and Average Length 3.53; the same table also reports D (unseen) Average Length 2.48. Nonstandard RAMA Table II reports RationalVLA on D (unseen, defective) with success rates 74.3/58.3/42.3/30.0/20.7 and average length 2.26.",3.53,,,48.0,,,,,3.35,3DDA,,,41.2,,,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2506.10826.txt, Table III is captioned as classic manipulation tasks, CALVIN ABC->D, trained on A/B/C and tested on D; Table II is the RAMA unseen/defective-instruction benchmark.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2506.10826.txt, Table III is captioned as classic manipulation tasks, CALVIN ABC->D, trained on A/B/C and tested on D; Table II is the RAMA unseen/defective-instruction benchmark.",high,official-ish,"Includes a classic CALVIN ABC->D table trained on A/B/C and tested on D with Average Length 3.53, despite also reporting a custom RAMA diagnostic."
7,AffordSim: A Scalable Data Generator and Benchmark for Affordance-Aware Robotic Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2604.11674,2026-04-13,arXiv API published date for 2604.11674,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/1adbe7f56d7a64a14e86c54f8156b0357ee8a4a9; Semantic Scholar: 1adbe7f56d7a64a14e86c54f8156b0357ee8a4a9,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
8,A Mechanistic View on Video Generation as World Models: State and Dynamics,2026,arXiv.org,n/a,n/a,n/a,2601.17067,2026-01-22,arXiv API published date for 2601.17067,10.48550/arXiv.2601.17067,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/84455e280d4c99bede5b566d71fbee6ccfbb18c5; Semantic Scholar: 84455e280d4c99bede5b566d71fbee6ccfbb18c5,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
9,AnchorRefine: Synergy-Manipulation Based on Trajectory Anchor and Residual Refinement for Vision-Language-Action Models,2026,preprint/unknown,n/a,n/a,n/a,2604.17787,2026-04-20,OpenAlex/arXiv location metadata for 2604.17787,10.48550/arxiv.2604.17787,OpenAlex term search - CALVIN benchmark robot; OpenAlex term search - CALVIN robot topic; Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN abcd-d average task completion result entry; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,https://arxiv.org/abs/2604.17787; https://doi.org/10.48550/arxiv.2604.17787; https://www.semanticscholar.org/paper/fa6ebaf267a1b62851217f3f3355b318b4125db9; https://www.wizwand.com/paper/69e705057d0172140ec7f1d4; https://arxiv.org/abs/2604.17787; OpenAlex: W7155090762; OpenAlex: W7155247340; Semantic Scholar: fa6ebaf267a1b62851217f3f3355b318b4125db9; Wizwand paper: 69e705057d0172140ec7f1d4,reports-results,abc-d,not reported,ABC D average task completed=4.4,4.4,,,76.5,,,,,4.31,X-VLA*,,,74.6,,,https://arxiv.org/html/2604.17787 Table 1 labels the CALVIN result as ABC -> D and reports AnchorRefine (X-VLA) Avg.Len. 4.40; AnchorRefine (GR-1) is 3.64.,high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,https://arxiv.org/html/2604.17787 Table 1 labels the CALVIN result as ABC -> D and reports AnchorRefine (X-VLA) Avg.Len. 4.40; AnchorRefine (GR-1) is 3.64.,high,official-ish,"Table 1 labels the result as CALVIN ABC->D and reports Avg.Len. 4.40, an official long-horizon average-task-completion metric."
10,Any3D-VLA: Enhancing VLA Robustness via Diverse Point Clouds,2026,arXiv.org,n/a,n/a,n/a,2602.00807,2026-01-31,arXiv API published date for 2602.00807,10.48550/arXiv.2602.00807,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/3d6ed407e73b87ce16446d133846e7cf6a21f25f; Semantic Scholar: 3d6ed407e73b87ce16446d133846e7cf6a21f25f,reports-results,abc-d,not reported,"CALVIN Table 10 reports Avg. Len. values: pi0.5 3.22, GraspVLA 1.97, SpatialVLA full-tuning 2.67, Any3D-VLA with DA3 point clouds 2.53, and Any3D-VLA with simulator point clouds 2.68.",2.68,,,34.8,,,,,3.22,pi0.5,,,45.9,,,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2602.00807.txt, Section 6.4 states CALVIN ABC->D and Table 10 reports task-completed-in-a-row success rates plus Avg. Len.",high,weight-but-not-for-number,,"Official 3D-VLA sources release related generative-model weights, but no public CALVIN policy/LLM checkpoint tied to the tracked CALVIN average-length result was found.",high,"Cached arXiv HTML calvin/audit_sources/arxiv_html_2602.00807.txt, Section 6.4 states CALVIN ABC->D and Table 10 reports task-completed-in-a-row success rates plus Avg. Len.",high,official-ish,"Section 6.4 states CALVIN ABC->D and Table 10 reports task-completed-in-a-row rates plus Avg. Len., matching official-style evaluation."
