task,grid_episode_id,success,steps,reward
carrot,0,true,32,1.0
carrot,1,true,33,1.0
carrot,2,true,33,1.0
carrot,3,true,33,1.0
carrot,4,true,37,1.0
carrot,5,true,36,1.0
carrot,6,true,35,1.0
carrot,7,true,36,1.0
carrot,8,true,36,1.0
carrot,9,true,37,1.0
carrot,10,true,33,1.0
carrot,11,false,60,0.0
carrot,12,true,34,1.0
carrot,13,true,37,1.0
carrot,14,true,41,1.0
carrot,15,true,44,1.0
carrot,16,true,33,1.0
carrot,17,true,37,1.0
carrot,18,true,38,1.0
carrot,19,true,40,1.0
carrot,20,true,32,1.0
carrot,21,true,36,1.0
carrot,22,true,34,1.0
carrot,23,true,35,1.0
eggplant,0,true,40,1.0
eggplant,1,true,33,1.0
eggplant,2,true,59,1.0
eggplant,3,false,120,0.0
eggplant,4,true,38,1.0
eggplant,5,true,41,1.0
eggplant,6,true,43,1.0
eggplant,7,true,40,1.0
eggplant,8,true,41,1.0
eggplant,9,true,48,1.0
eggplant,10,true,41,1.0
eggplant,11,true,78,1.0
eggplant,12,true,37,1.0
eggplant,13,true,39,1.0
eggplant,14,true,51,1.0
eggplant,15,true,40,1.0
eggplant,16,true,39,1.0
eggplant,17,true,43,1.0
eggplant,18,true,41,1.0
eggplant,19,true,51,1.0
eggplant,20,true,43,1.0
eggplant,21,true,40,1.0
eggplant,22,true,41,1.0
eggplant,23,true,50,1.0
spoon,0,true,45,1.0
spoon,1,true,40,1.0
spoon,2,true,38,1.0
spoon,3,true,58,1.0
spoon,4,true,41,1.0
spoon,5,false,60,0.0
spoon,6,true,36,1.0
spoon,7,false,60,0.0
spoon,8,true,40,1.0
spoon,9,true,41,1.0
spoon,10,true,33,1.0
spoon,11,true,32,1.0
spoon,12,true,43,1.0
spoon,13,true,45,1.0
spoon,14,true,40,1.0
spoon,15,true,40,1.0
spoon,16,true,40,1.0
spoon,17,true,41,1.0
spoon,18,true,41,1.0
spoon,19,true,45,1.0
spoon,20,true,35,1.0
spoon,21,false,60,0.0
spoon,22,true,37,1.0
spoon,23,true,37,1.0
stack,0,true,35,1.0
stack,1,true,31,1.0
stack,2,true,35,1.0
stack,3,true,30,1.0
stack,4,true,29,1.0
stack,5,true,29,1.0
stack,6,true,35,1.0
stack,7,true,42,1.0
stack,8,true,47,1.0
stack,9,true,31,1.0
stack,10,true,26,1.0
stack,11,true,33,1.0
stack,12,true,43,1.0
stack,13,true,39,1.0
stack,14,true,50,1.0
stack,15,true,38,1.0
stack,16,true,45,1.0
stack,17,true,38,1.0
stack,18,true,49,1.0
stack,19,true,54,1.0
stack,20,true,52,1.0
stack,21,true,42,1.0
stack,22,true,37,1.0
stack,23,true,41,1.0
