ID,Benchmark,Candidate work,Year,ArXiv / DOI,Parsed arXiv,Parsed DOI,Found via,Match reason,Initial status,Link / notes,Paper available on arXiv,Audited arXiv ID,ArXiv URL,ArXiv evidence,ArXiv confidence,Benchmark numbers reported,Benchmark usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Reported numbers evidence,Reported numbers confidence,Audit notes,Audit batch
COLOS-001,THE COLOSSEUM,THE COLOSSEUM: A Benchmark for Evaluating Generalization for Robotic Manipulation,,arXiv `2402.08191`; arXiv DOI `10.48550/arXiv.2402.08191`,2402.08191,10.48550/arXiv.2402.08191,seed identity,Canonical benchmark seed work.,seed-work,URLs: https://arxiv.org/abs/2402.08191 | Provenance: seed identity: arXiv:2402.08191,yes,2402.08191,https://arxiv.org/abs/2402.08191,"arXiv abs page https://arxiv.org/abs/2402.08191 lists the exact title, authors Wilbert Pumacay, Ishika Singh, Jiafei Duan et al., and arXiv ID 2402.08191.",high,yes,reports-results,"THE COLOSSEUM challenge: 20 RLBench manipulation tasks, 14 perturbation factors, standard training dataset of 100 demonstrations per task without perturbations, evaluation over fixed 25 episodes for each perturbation-factor test set, task-averaged success rate.",100 demonstrations per task,"Abstract/Fig. 1: five SOTA policies degrade 30-50% across perturbation factors; multiple perturbations degrade success rate >=75%; simulation-real correlation Rbar^2 = 0.614. Appendix Tables IV-VIII report per-task/per-perturbation success rates for PerAct, R3M, MVP, RVT, and VoxPoser; Table II reports real-world ablation correlations 0.75, 0.01, and 0.83.","arXiv PDF https://arxiv.org/pdf/2402.08191, Abstract, Fig. 1 caption, Fig. 2 protocol description, Section IV/V, Appendix Tables II and IV-VIII.",high,Canonical benchmark paper; numeric status is for the benchmark's own baseline and ablation results.,arxiv_result_audit_2026-05-22_double:the_colossem_batch_01:A+B
COLOS-002,THE COLOSSEUM,SEVO: Semantic-Enhanced Virtual Observation for Robust VLA Manipulation via Active Illumination and Data-Centric Collection,2026,arXiv `2605.11114`,2605.11114,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2402.08191.,indexed-citation,"URLs: https://www.semanticscholar.org/paper/c0ff2d3d452d077e431b1efaf75c1f499afec70c | Source IDs: SemanticScholarURL: https://www.semanticscholar.org/paper/c0ff2d3d452d077e431b1efaf75c1f499afec70c ; CorpusId: 288255772 | Provenance: Semantic Scholar citation endpoint for arXiv:2402.08191: citing paper record ; S2 context: Pumacay et al. [11] introduce a benchmark that evaluates manipulation generalization under systematic environment perturbations (including appearance and scene changes), and report substantial performance degradation across shifts.",yes,2605.11114,https://arxiv.org/abs/2605.11114,arXiv abs/API record https://arxiv.org/abs/2605.11114 lists this exact title and PDF arXiv:2605.11114v1.,high,no,citation-only,n/a,n/a,None,"The arXiv PDF mentions The Colosseum in related work as Pumacay et al. [11] and cites arXiv:2402.08191, but its numeric results are SEVO real-robot grasp/pick-and-place results, not THE COLOSSEUM benchmark results.",high,"No THE COLOSSEUM evaluation table, suite, or benchmark result found in paper text.",arxiv_result_audit_2026-05-22_double:the_colossem_batch_01:A+B
COLOS-003,THE COLOSSEUM,Test-Time Training for Visual Foresight Vision-Language-Action Models,2026,arXiv `2605.08215`,2605.08215,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2402.08191.,indexed-citation,URLs: https://www.semanticscholar.org/paper/2e31b17448eb6ef9339b8adc2da27a0ac6ec106b | Source IDs: SemanticScholarURL: https://www.semanticscholar.org/paper/2e31b17448eb6ef9339b8adc2da27a0ac6ec106b ; CorpusId: 288260229 | Provenance: Semantic Scholar citation endpoint for arXiv:2402.08191: citing paper record,yes,2605.08215,https://arxiv.org/abs/2605.08215,arXiv abs/API record https://arxiv.org/abs/2605.08215 lists this exact title and PDF arXiv:2605.08215v1.,high,no,citation-only,n/a,n/a,None,"The PDF cites Pumacay et al. in the OOD/VLA discussion and reference list, but text search found no THE COLOSSEUM evaluation protocol, table, or numeric result; the cited COLOSSEUM work is background for OOD robustness.",high,"Pumacay/The Colosseum appears as related work, not as an evaluated benchmark.",arxiv_result_audit_2026-05-22_double:the_colossem_batch_01:A+B
COLOS-004,THE COLOSSEUM,Agent-Centric Observation Adaptation for Robust Visual Control under Dynamic Perturbations,2026,arXiv `2604.24661`,2604.24661,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2402.08191.,indexed-citation,URLs: https://www.semanticscholar.org/paper/28258c8b006797ef95a2ffca27282fc89d9b087a | Source IDs: SemanticScholarURL: https://www.semanticscholar.org/paper/28258c8b006797ef95a2ffca27282fc89d9b087a ; CorpusId: 287783113 | Provenance: Semantic Scholar citation endpoint for arXiv:2402.08191: citing paper record,yes,2604.24661,https://arxiv.org/abs/2604.24661,arXiv abs/API record https://arxiv.org/abs/2604.24661 lists this exact title and latest PDF version v3.,high,no,citation-only,n/a,n/a,None,"The paper references The Colosseum/Pumacay et al. only in the visual-robustness related-work/reference context; its numeric experiments are on VDCS, DMC-GB, and RoboSuite, including 95.3% clean-input recovery, not THE COLOSSEUM.",high,COLOSSEUM is cited as prior visual/generalization benchmark; no row-benchmark results reported.,arxiv_result_audit_2026-05-22_double:the_colossem_batch_01:A+B
COLOS-005,THE COLOSSEUM,"Vision-Language-Action in Robotics: A Survey of Datasets, Benchmarks, and Data Engines",2026,arXiv `2604.23001`,2604.23001,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2402.08191.,indexed-citation,"URLs: https://www.semanticscholar.org/paper/243c6e23d30f0da8f4a0579de16850f4a82eb2f2 | Source IDs: SemanticScholarURL: https://www.semanticscholar.org/paper/243c6e23d30f0da8f4a0579de16850f4a82eb2f2 ; CorpusId: 287777411 | Provenance: Semantic Scholar citation endpoint for arXiv:2402.08191: citing paper record ; S2 context: COLOS-SEUM further evaluates robustness under controlled table-top settings by introducing systematic visual and physical perturbations across 14 axes, demonstrating significant degradation when multiple perturbation factors are applied simultaneously(Pumacay",yes,2604.23001,https://arxiv.org/abs/2604.23001,arXiv abs/API record https://arxiv.org/abs/2604.23001 lists this exact title and PDF arXiv:2604.23001v1.,high,no,citation-only,n/a,n/a,None,"The survey discusses COLOSSEUM as an existing benchmark, mentioning 14 axes and qualitative performance degradation under multiple perturbations, but it does not run THE COLOSSEUM or report its own numeric benchmark results.",high,Survey/background mention; numeric protocol facts such as '14 axes' are not result reporting.,arxiv_result_audit_2026-05-22_double:the_colossem_batch_01:A+B
COLOS-006,THE COLOSSEUM,How VLAs (Really) Work In Open-World Environments,2026,arXiv `2604.21192`,2604.21192,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2402.08191.,indexed-citation,"URLs: https://www.semanticscholar.org/paper/eede8741ae4131cfb15038b9bd96c9e655486ba0 | Source IDs: SemanticScholarURL: https://www.semanticscholar.org/paper/eede8741ae4131cfb15038b9bd96c9e655486ba0 ; CorpusId: 287701935 | Provenance: Semantic Scholar citation endpoint for arXiv:2402.08191: citing paper record ; S2 context: Their performance can degrade substantially when distractors are introduced [15], when non-target objects are modified [16], or when background factors, such as lighting, texture, or camera pose change [17].",yes,2604.21192,https://arxiv.org/abs/2604.21192,arXiv abs/API record https://arxiv.org/abs/2604.21192 lists this exact title and PDF arXiv:2604.21192v1.,high,no,citation-only,n/a,n/a,None,"The PDF cites Pumacay et al. [17] for VLA sensitivity to lighting, texture, and camera-pose changes; the paper's analysis and numeric results are on the BEHAVIOR1K/B1K Challenge, not THE COLOSSEUM.",high,COLOSSEUM appears as prior evidence for visual perturbation sensitivity only.,arxiv_result_audit_2026-05-22_double:the_colossem_batch_01:A+B
COLOS-007,THE COLOSSEUM,StarVLA-$\alpha$: Reducing Complexity in Vision-Language-Action Systems,2026,arXiv `2604.11757`,2604.11757,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2402.08191.,indexed-citation,URLs: https://www.semanticscholar.org/paper/13790ee8d1cddc5102b22dcf78afeb01533f82c3 | Source IDs: SemanticScholarURL: https://www.semanticscholar.org/paper/13790ee8d1cddc5102b22dcf78afeb01533f82c3 ; CorpusId: 287433316 | Provenance: Semantic Scholar citation endpoint for arXiv:2402.08191: citing paper record,yes,2604.11757,https://arxiv.org/abs/2604.11757,arXiv abs/API record https://arxiv.org/abs/2604.11757 lists this work as StarVLA-$alpha$: Reducing Complexity in Vision-Language-Action Systems; the PDF header shows arXiv:2604.11757v1.,high,no,citation-only,n/a,n/a,None,"The PDF cites Pumacay et al. (2024) for robustness under distribution shifts and lists The Colosseum in references. Its numeric benchmark tables cover LIBERO, SimplerEnv, RoboTwin 2.0, RoboCasa-GR1, and RoboChallenge, not THE COLOSSEUM.",high,"The paper reports many benchmark numbers, but none are labeled as THE COLOSSEUM.",arxiv_result_audit_2026-05-22_double:the_colossem_batch_01:A+B
COLOS-008,THE COLOSSEUM,Action Images: End-to-End Policy Learning via Multiview Video Generation,2026,arXiv `2604.06168`,2604.06168,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2402.08191.,indexed-citation,"URLs: https://www.semanticscholar.org/paper/ec32faed572525deb3d9dff4cdcf6e0881d881ec | Source IDs: SemanticScholarURL: https://www.semanticscholar.org/paper/ec32faed572525deb3d9dff4cdcf6e0881d881ec ; CorpusId: 287209378 | Provenance: Semantic Scholar citation endpoint for arXiv:2402.08191: citing paper record ; S2 context: RLBench, although more toy-like than real-world data, provides highly accurate action and camera signals from simulation; we improve its visual diversity with Robot-Colosseum [47] background augmentation.",yes,2604.06168,https://arxiv.org/abs/2604.06168,arXiv abs/API record https://arxiv.org/abs/2604.06168 lists this exact title and latest PDF version v2.,high,no,uses-data-no-results,n/a,n/a,None,"Section 3.3 says RLBench training data are visually diversified with Robot-Colosseum background augmentation, and the reference list cites arXiv:2402.08191. The reported numeric results are RLBench and real-world evaluations, not THE COLOSSEUM benchmark scores.",high,Counts as benchmark/resource usage without THE COLOSSEUM numeric-result reporting; do not merge as reports-results.,arxiv_result_audit_2026-05-22_double:the_colossem_batch_01:A+B
COLOS-009,THE COLOSSEUM,AnyUser: Translating Sketched User Intent Into Domestic Robots,2026,arXiv `2604.04811`; DOI `10.1109/TRO.2026.3686173`,2604.04811,10.1109/TRO.2026.3686173,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2402.08191.,indexed-citation,"URLs: https://www.semanticscholar.org/paper/41532cf8ea99cb54a6f751fcb7736be9150c234a | Source IDs: SemanticScholarURL: https://www.semanticscholar.org/paper/41532cf8ea99cb54a6f751fcb7736be9150c234a ; CorpusId: 287201759 | Provenance: Semantic Scholar citation endpoint for arXiv:2402.08191: citing paper record ; S2 context: However, end-to-end approaches often require large training sets, can be difﬁcult to interpret, and may struggle to generalize across tasks or environments that differ from the training distribution [44], [45].",yes,2604.04811,https://arxiv.org/abs/2604.04811,arXiv abs page https://arxiv.org/abs/2604.04811 lists the title AnyUser: Translating Sketched User Intent into Domestic Robots and arXiv ID 2604.04811.,high,no,citation-only,n/a,n/a,None,"The PDF cites Pumacay et al. [44] for end-to-end approaches struggling to generalize across tasks/environments. AnyUser's numeric results concern HouseholdSketch, real-robot trials, and a user study, not THE COLOSSEUM.",high,The DOI/publication metadata do not change the arXiv identity; no COLOSSEUM benchmark result found.,arxiv_result_audit_2026-05-22_double:the_colossem_batch_01:A+B
COLOS-010,THE COLOSSEUM,RoboPlayground: Democratizing Robotic Evaluation through Structured Physical Domains,2026,arXiv `2604.05226`,2604.05226,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2402.08191.,indexed-citation,URLs: https://www.semanticscholar.org/paper/09d727edaf798bf654761c618fdc39d4c28ab965 | Source IDs: SemanticScholarURL: https://www.semanticscholar.org/paper/09d727edaf798bf654761c618fdc39d4c28ab965 ; CorpusId: 287208497 | Provenance: Semantic Scholar citation endpoint for arXiv:2402.08191: citing paper record ; S2 context: 27).,yes,2604.05226,https://arxiv.org/abs/2604.05226,arXiv abs/API record https://arxiv.org/abs/2604.05226 lists this exact title and PDF arXiv:2604.05226v1.,high,no,citation-only,n/a,n/a,None,"The arXiv PDF lists Colosseum among fixed robotic manipulation benchmarks in related work and cites the benchmark paper; RoboPlayground's numeric results are on its own structured block-domain/user-study evaluations, not THE COLOSSEUM.",high,COLOSSEUM is contextual prior work only.,arxiv_result_audit_2026-05-22_double:the_colossem_batch_01:A+B
