ID,Benchmark,Candidate work,Year,ArXiv / DOI,Parsed arXiv,Parsed DOI,Found via,Match reason,Initial status,Link / notes,Paper available on arXiv,Audited arXiv ID,ArXiv URL,ArXiv evidence,ArXiv confidence,Benchmark numbers reported,Benchmark usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Reported numbers evidence,Reported numbers confidence,Audit notes,Audit batch
LPRO-001,LIBERO-PRO,LIBERO-PRO: Towards Robust and Fair Evaluation of Vision-Language-Action Models Beyond Memorization,,arXiv `2510.03827`; DOI `10.48550/arXiv.2510.03827`,2510.03827,10.48550/arXiv.2510.03827,seed identity,Canonical benchmark seed work.,seed-work,URLs: https://arxiv.org/abs/2510.03827 Provenance: seed identity: arXiv:2510.03827,yes,2510.03827,https://arxiv.org/abs/2510.03827,arXiv abs page https://arxiv.org/abs/2510.03827 lists arXiv:2510.03827 with the exact row title and DOI 10.48550/arXiv.2510.03827.,high,yes,reports-results,"LIBERO-PRO perturbation suite over original LIBERO tasks, with object, initial-position/spatial, instruction/semantic/task, and environment perturbations; results reported for libero-goal, libero-spatial, libero-10, and libero-object.",not reported,Abstract reports existing models over 90% under standard LIBERO but 0.0% under the generalized LIBERO-PRO setting. Table 2 libero-goal averages include OpenVLA/Pi0/Pi0.5 position-change success 0.00/0.00/0.38 and task-change success 0.00/0.00/0.00. Table 3 libero-spatial position-change averages are 0.00/0.00/0.20. Table 4 libero-10 position-change averages are 0.00/0.00/0.08. Table 5 libero-object position-change averages are 0.00/0.00/0.17.,"arXiv PDF https://arxiv.org/pdf/2510.03827, Abstract; Section 5.2 Main Results; Tables 2-5.",high,Canonical LIBERO-PRO seed paper; benchmark_usage uses the allowed reports-results label because the seed paper reports numeric LIBERO-PRO results.,arxiv_result_audit_2026-05-22_double:libero_pro_batch_01:A+B
LPRO-002,LIBERO-PRO,TMRL: Diffusion Timestep-Modulated Pretraining Enables Exploration for Efficient Policy Finetuning,2026,arXiv `2605.12236`,2605.12236,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2510.03827.,indexed-citation,URLs: https://www.semanticscholar.org/paper/9c40e5a3c617ace5a6fc0f2a46bd9d146c1b8dd6 IDs: S2 `9c40e5a3c617ace5a6fc0f2a46bd9d146c1b8dd6`; CorpusId `288255392` Provenance: Semantic Scholar citation endpoint for arXiv:2510.03827: citing paper record; S2 context: We then evaluate adaptation on two unseen tasks: a position-perturbed version of Libero-Goal task [54] and a task from the Libero-90 task suite.,yes,2605.12236,https://arxiv.org/abs/2605.12236,arXiv abs/html pages identify arXiv:2605.12236 with the row title and PDF watermark arXiv:2605.12236v1.,high,yes,reports-results,LIBERO image-based VLA fine-tuning with evaluation on a position-perturbed Libero-Goal task from Zhou et al. [LIBERO-PRO] and task 51 from Libero-90.,not reported,Figure 6 reports simulation RL success-rate curves; its caption states that on the libero-goal task TMRL and RLPD both reach 100% success. Appendix A-F defines this libero-goal task as the swap perturbation for Libero-Goal from Zhou et al. [LIBERO-PRO].,https://arxiv.org/html/2605.12236 Section VI-C says the paper evaluates a position-perturbed Libero-Goal task [54]; Figure 6 caption states TMRL and RLPD both reach 100% success on libero-goal; Appendix A-F states the evaluation uses the swap perturbation for Libero-Goal from Zhou et al. [54].,medium,"Counted because the paper's evaluated Libero-Goal perturbation is explicitly sourced to the LIBERO-PRO reference, although the result label in the figure is 'libero-goal' rather than 'LIBERO-PRO'.",arxiv_result_audit_2026-05-22_double:libero_pro_batch_01:A+B
LPRO-003,LIBERO-PRO,"The Scaling Law of Evaluation Failure: Why Simple Averaging Collapses Under Data Sparsity and Item Difficulty Gaps, and How Item Response Theory Recovers Ground Truth Across Domains",2026,arXiv `2605.11205`,2605.11205,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2510.03827.,indexed-citation,"URLs: https://www.semanticscholar.org/paper/fbf2264be572e98d28b37426433b5eba0b3308cd IDs: S2 `fbf2264be572e98d28b37426433b5eba0b3308cd`; CorpusId `288257853` Provenance: Semantic Scholar citation endpoint for arXiv:2510.03827: citing paper record; S2 context: We estimate coverage well below 50% based on published evaluation tables: LIBERO-PRO Zhou et al. [2025] reports results for three VLA models across four perturbation axes, with substantial missing entries, and cross-paper comparison across the broader VLA lite",yes,2605.11205,https://arxiv.org/abs/2605.11205,arXiv abs/html pages identify arXiv:2605.11205 with the row title and PDF watermark arXiv:2605.11205v1.,high,no,citation-only,n/a,n/a,None,"https://arxiv.org/html/2605.11205 cites LIBERO-PRO as motivation/background for sparse Physical AI benchmark matrices and mentions seed-paper figures such as over-90% standard LIBERO and 0% perturbed success, but the paper's own experiments are synthetic IRT/simple-averaging simulations across NLP, clinical trials, autonomous vehicles, and cybersecurity rather than LIBERO-PRO benchmark evaluations.",high,Background numerical claims about the LIBERO-PRO seed paper were not counted as this paper reporting LIBERO-PRO benchmark results.,arxiv_result_audit_2026-05-22_double:libero_pro_batch_01:A+B
LPRO-004,LIBERO-PRO,TAVIS: A Benchmark for Egocentric Active Vision and Anticipatory Gaze in Imitation Learning,2026,arXiv `2605.07943`,2605.07943,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2510.03827.,indexed-citation,"URLs: https://www.semanticscholar.org/paper/7b1997f81c38d44142a7054c5462233fe607087a IDs: S2 `7b1997f81c38d44142a7054c5462233fe607087a`; CorpusId `288147593` Provenance: Semantic Scholar citation endpoint for arXiv:2510.03827: citing paper record; S2 context: In the spirit of LIBERO-Pro Zhou et al. [2025] and LIBERO-Plus Fei et al. [2025] but on new tasks, robots, and with ray-traced rendering, we evaluate the multi-task π 0 headcam policies on the three TAVIS splits (Section 4; results in Figure 2c and Table 1).",yes,2605.07943,https://arxiv.org/abs/2605.07943,arXiv abs/html pages identify arXiv:2605.07943 with the row title and PDF watermark arXiv:2605.07943v1.,high,no,citation-only,n/a,n/a,None for LIBERO-PRO.,"arXiv PDF https://arxiv.org/pdf/2605.07943, Sections 4-5 say TAVIS OOD splits are in the spirit of LIBERO-Pro/LIBERO-Plus but on new tasks, robots, and ray-traced rendering. Tables/Figures report TAVIS success rates, not LIBERO-PRO results.",high,TAVIS reports its own benchmark numbers and cites LIBERO-PRO only as motivation for OOD split design.,arxiv_result_audit_2026-05-22_double:libero_pro_batch_01:A+B
LPRO-005,LIBERO-PRO,Seeing Realism from Simulation: Efficient Video Transfer for Vision-Language-Action Data Augmentation,2026,arXiv `2605.02757`,2605.02757,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2510.03827.,indexed-citation,"URLs: https://www.semanticscholar.org/paper/754cfa5521aa109ab6a6f851912ba22bce6d463a IDs: S2 `754cfa5521aa109ab6a6f851912ba22bce6d463a`; CorpusId `287949844` Provenance: Semantic Scholar citation endpoint for arXiv:2510.03827: citing paper record; S2 context: Recent benchmarks quantify this brittleness: LIBERO-Plus (Fei et al., 2025) shows success rates dropping from 95% to under 30% with minor perturbations in object lay-out, camera angle, or lighting; LIBERO-PRO (Zhou et al., 2025b) reports near-zero accuracy whe",yes,2605.02757,https://arxiv.org/abs/2605.02757,arXiv abs/html pages identify arXiv:2605.02757 with the row title and PDF watermark arXiv:2605.02757v1.,high,no,citation-only,n/a,n/a,None for LIBERO-PRO.,"arXiv PDF https://arxiv.org/pdf/2605.02757, Section 3.1 cites LIBERO-PRO as reporting near-zero accuracy when object positions and instructions are modified. The paper's own experiments are on Robotwin 2.0, ordinary LIBERO, LIBERO-Plus, and a real robot; Appendix A.2/Table 11 report LIBERO-Plus, not LIBERO-PRO.",high,"The paper reports LIBERO-Plus numeric gains, including a 5.1% average improvement for pi0, but those are not LIBERO-PRO results.",arxiv_result_audit_2026-05-22_double:libero_pro_batch_01:A+B
LPRO-006,LIBERO-PRO,Atomic-Probe Governance for Skill Updates in Compositional Robot Policies,2026,arXiv `2604.26689`,2604.26689,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2510.03827.,indexed-citation,URLs: https://www.semanticscholar.org/paper/27c9ab0827bbfbed9d444df665d441f663943801 IDs: S2 `27c9ab0827bbfbed9d444df665d441f663943801`; CorpusId `287902204` Provenance: Semantic Scholar citation endpoint for arXiv:2510.03827: citing paper record; S2 context: LIBERO [28] and its robustness extension LIBERO-PRO [29] probe language-conditioned policies across lifelong-learning suites.,yes,2604.26689,https://arxiv.org/abs/2604.26689,arXiv abs page https://arxiv.org/abs/2604.26689 lists arXiv:2604.26689 with the exact row title; the current version is v3.,high,no,citation-only,n/a,n/a,None for LIBERO-PRO.,arXiv HTML/PDF https://arxiv.org/html/2604.26689 and https://arxiv.org/pdf/2604.26689: Section 3.2 states the evaluated tasks are six robosuite tasks; Appendix F mentions LIBERO and its robustness extension LIBERO-PRO only in compositional-benchmark related work.,high,No LIBERO-PRO experiment or numeric LIBERO-PRO benchmark table found.,arxiv_result_audit_2026-05-22_double:libero_pro_batch_01:A+B
LPRO-007,LIBERO-PRO,The evolution of end-to-end Vision-Language-Action (VLA) architectures in robotics,2026,DOI `10.55092/rl20260010`,,10.55092/rl20260010,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2510.03827.,indexed-citation,"URLs: https://www.semanticscholar.org/paper/56836039a028e56560b03d23978783f131031366 IDs: S2 `56836039a028e56560b03d23978783f131031366`; CorpusId `287860009` Provenance: Semantic Scholar citation endpoint for arXiv:2510.03827: citing paper record; S2 context: Concurrently, studies like LIBERO-PRO [71] reveal the fragility of current models in complex language understanding.",no,,,"Official DOI page https://www.elspub.com/doi/10.55092/rl20260010 identifies the work as a Robot Learning review with DOI 10.55092/rl20260010 and provides a publisher PDF, but no arXiv ID. arXiv API exact-title searches for the title and title prefix returned totalResults=0, and exact-title web search found the publisher page rather than an arXiv page.",high,no,citation-only,n/a,n/a,None for LIBERO-PRO.,Publisher PDF https://pdf.elspublishing.com/paper/journal/open/RL/2026/rl20260010.pdf mentions LIBERO-PRO once in the main text as revealing fragility in complex language understanding and lists reference [71] to arXiv:2510.03827. It does not report numeric LIBERO-PRO benchmark results.,high,Publisher-only review article found; no defensible arXiv version located.,arxiv_result_audit_2026-05-22_double:libero_pro_batch_01:A+B
LPRO-008,LIBERO-PRO,Breaking Lock-In: Preserving Steerability under Low-Data VLA Post-Training,2026,arXiv `2604.23121`,2604.23121,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2510.03827.,indexed-citation,"URLs: https://www.semanticscholar.org/paper/adf1b5338d41181f163306090407c6631baee755 IDs: S2 `adf1b5338d41181f163306090407c6631baee755`; CorpusId `287777164` Provenance: Semantic Scholar citation endpoint for arXiv:2510.03827: citing paper record; S2 context: …for standard supervised fine-tuning (SFT): it can learn the target skill from limited demonstrations, yet often over-specializes to the post-training data distribution, making the learned skill hard to steer under novel instructions beyond the post-training c",yes,2604.23121,https://arxiv.org/abs/2604.23121,arXiv abs/html pages identify arXiv:2604.23121 with the row title and PDF watermark arXiv:2604.23121v1.,high,no,citation-only,n/a,n/a,None for LIBERO-PRO.,"arXiv PDF https://arxiv.org/pdf/2604.23121: Introduction cites LIBERO-PRO and Appendix C says the simulation experiments use four environments from the ordinary LIBERO benchmark with 100 demonstrations per task. The numeric tables report the paper's lock-in evaluation suite, not LIBERO-PRO.",high,The work uses modified ordinary LIBERO simulation tasks and cites LIBERO-PRO as related robustness work; this is not a LIBERO-PRO evaluation.,arxiv_result_audit_2026-05-22_double:libero_pro_batch_01:A+B
LPRO-009,LIBERO-PRO,RedVLA: Physical Red Teaming for Vision-Language-Action Models,2026,arXiv `2604.22591`,2604.22591,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2510.03827.,indexed-citation,"URLs: https://www.semanticscholar.org/paper/4391999707639a64bf33a192b67063fc03c4bb97 IDs: S2 `4391999707639a64bf33a192b67063fc03c4bb97`; CorpusId `287773778` Provenance: Semantic Scholar citation endpoint for arXiv:2510.03827: citing paper record; S2 context: Newer variants such as LIBERO-Pro (Zhou et al., 2025b) and LIBERO-Plus (Fei et al., 2025) further increase task difficulty and distribution diversity.",yes,2604.22591,https://arxiv.org/abs/2604.22591,arXiv abs/html pages identify arXiv:2604.22591 with the row title and PDF watermark arXiv:2604.22591v1.,high,no,citation-only,n/a,n/a,None for LIBERO-PRO.,"arXiv PDF https://arxiv.org/pdf/2604.22591: Section 4 states experiments are conducted on the widely adopted LIBERO benchmark with injected risk factors; Table 1 reports RedVLA ASR/SR safety metrics. Appendix related work says newer variants such as LIBERO-Pro and LIBERO-Plus increase difficulty, but no numeric LIBERO-PRO benchmark results are reported.",high,"The paper uses LIBERO-derived risk scenarios and cites LIBERO-PRO, but reports RedVLA safety metrics rather than LIBERO-PRO benchmark performance.",arxiv_result_audit_2026-05-22_double:libero_pro_batch_01:A+B
LPRO-010,LIBERO-PRO,"Vision-Language-Action in Robotics: A Survey of Datasets, Benchmarks, and Data Engines",2026,arXiv `2604.23001`,2604.23001,,Semantic Scholar citation graph,Semantic Scholar lists this work as citing seed arXiv:2510.03827.,indexed-citation,URLs: https://www.semanticscholar.org/paper/243c6e23d30f0da8f4a0579de16850f4a82eb2f2 IDs: S2 `243c6e23d30f0da8f4a0579de16850f4a82eb2f2`; CorpusId `287777411` Provenance: Semantic Scholar citation endpoint for arXiv:2510.03827: citing paper record,yes,2604.23001,https://arxiv.org/abs/2604.23001,arXiv abs/html pages identify arXiv:2604.23001 with the row title and PDF watermark arXiv:2604.23001v1.,high,no,citation-only,n/a,n/a,None for LIBERO-PRO.,"arXiv PDF https://arxiv.org/pdf/2604.23001: Figure 1/timeline includes LIBERO-PRO and Section 4.1 says works built on LIBERO include LIBERO-plus, LIBERO-PRO, and LIBERO-X. The work is a survey and does not run or report numeric LIBERO-PRO evaluations.",high,Survey/citation-only use of the named benchmark.,arxiv_result_audit_2026-05-22_double:libero_pro_batch_01:A+B
