policy,fresh_seed,manifest_id,global_index,tasks_completed,chain_success
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,0,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,1,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,2,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,3,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,4,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,5,4,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,6,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,7,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,8,1,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,9,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,10,4,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,11,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,12,2,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,13,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,14,3,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,15,1,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,16,3,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,17,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,18,4,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,19,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,20,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,21,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,22,1,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,23,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,24,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,25,2,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,26,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,27,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,28,4,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,29,0,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,30,0,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,31,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,32,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,33,0,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,34,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,35,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,36,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,37,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,38,0,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,39,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,40,2,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,41,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,42,5,1
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,43,4,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,44,3,0
X-VLA,2026052601,abc_d_fresh_sequence_1000seq_seed2026052601,45,5,1
