ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboTwin 2.0 usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RoboTwin2 Easy reported success rate,RoboTwin2 Hard reported success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA name,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
1,RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation,2025,arXiv.org,n/a,n/a,n/a,2506.18088,2025-06-22,source metadata publication date for arXiv 2506.18088,10.48550/arXiv.2506.18088,Semantic Scholar term search: RoboTwin 2; Semantic Scholar term search: RoboTwin 2.0 Randomized; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; arXiv term search: RoboTwin-2.0; arXiv term search: RoboTwin-OD; arXiv term search: Robotwin 2.0; arXiv term search: github.com/RoboTwin-Platform/RoboTwin; arXiv term search: robotwin-platform.github.io; canonical seed,RoboTwin 2.0 seed work; term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Randomized; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; term match: RoboTwin-2.0; term match: RoboTwin-OD; term match: Robotwin 2.0; term match: github.com/RoboTwin-Platform/RoboTwin; term match: robotwin-platform.github.io,seed-work,https://www.semanticscholar.org/paper/1002f84d1b487e49d3bc2d353dfb77e1495d3c58; Semantic Scholar: 1002f84d1b487e49d3bc2d353dfb77e1495d3c58; OpenAlex: W6929480010,seed-work,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Canonical RoboTwin 2.0 seed work.,n/a,,
2,unknown,2023,unknown,n/a,n/a,n/a,,n/a,n/a,10.3030/101113967,Crossref term search: RoboTwin 2; Crossref term search: RoboTwin 2.0; Crossref term search: RoboTwin 2.0 Clean; Crossref term search: RoboTwin 2.0 Easy; Crossref term search: RoboTwin 2.0 Hard; Crossref term search: RoboTwin 2.0 Randomized; Crossref term search: RoboTwin-2.0; Crossref term search: RoboTwin-OD; Crossref term search: Robotwin 2.0; Crossref term search: github.com/RoboTwin-Platform/RoboTwin; Crossref term search: robotwin-platform.github.io,term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Clean; term match: RoboTwin 2.0 Easy; term match: RoboTwin 2.0 Hard; term match: RoboTwin 2.0 Randomized; term match: RoboTwin-2.0; term match: RoboTwin-OD; term match: Robotwin 2.0; term match: github.com/RoboTwin-Platform/RoboTwin; term match: robotwin-platform.github.io,term-only,https://doi.org/10.3030/101113967,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-search row retained for audit; no countable RoboTwin 2.0 citation edge or formal citation was confirmed.,n/a,,
3,3D Generation for Embodied AI and Robotic Simulation: A Survey,2026,preprint/unknown,n/a,n/a,n/a,2604.26509,2026-04-29,source metadata publication date for arXiv 2604.26509,10.48550/arXiv.2604.26509,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/1abf5de6710b4266f7b4d7844ac469c8dbad7ec4; Semantic Scholar: 1abf5de6710b4266f7b4d7844ac469c8dbad7ec4; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2604.26509; snippet: + sequences / 147 tasks Multimodal (RGB-D, F/T, audio), human-robot paired ❶ 4 BridgeData V2 [ 170 ] CoRL’23 Real WidowX 250 60K trajectories / 24 envs / 13 skills Low-cost hardware, language annotations ❶ 5 RoboTwin [ 130 ] CVPR ’25 Both ALOHA dual-arm 50 bimanual tasks / 731 objects 3D generative digital twins, SAPIEN sim ❷ 6 RoboTwin 2.0 [ 22 ] arXiv ’25 Both 5 bimanual embodiments 100K+ trajectories / 50 tasks Domain randomization, MLLM task generation ❷ 7 RoboCasa [ 132 ] RSS’24 Sim Franka (robosuite/MuJoCo) 100K+ trajectories / 100 tasks AI-generated textures & objects, kitchen domain ❷ 8 ManiSkill2/3 [ 164 ] ICLR’23 Sim Multi-robot...",medium,,
4,A Pragmatic VLA Foundation Model,2026,arXiv.org,n/a,n/a,n/a,2601.18692,2026-01-26,source metadata publication date for arXiv 2601.18692,10.48550/arXiv.2601.18692,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/f1075e309a82e46aaca3f03bf70697219e17604a; Semantic Scholar: f1075e309a82e46aaca3f03bf70697219e17604a; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,"50 clean demonstrations per task plus 500 randomized demonstrations per task (2,500 clean and 25,000 randomized demonstrations over 50 tasks).",Table 2 reports RoboTwin 2.0 average success rates for pi0.5 and LingBot-VLA variants. The proposed LingBot-VLA w/ depth reports 88.56% on Clean Scenes and 86.68% on Randomized Scenes; w/o depth reports 86.50% and 85.34%; pi0.5 reports 82.74% and 76.76%. Units are percent success rate.,88.56,86.68,,,,,82.74,pi0.5,76.76,pi0.5,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2601.18692. Table 2 is titled simulation evaluation on RoboTwin 2.0 and separates Clean Scenes and Randomized Scenes. Section 5.3 states 50 representative tasks, 2,500 clean demos, 25,000 randomized demos, and randomized backgrounds, clutter, table height, and lighting.",high,number-associated weight available,https://huggingface.co/robbyant/lingbot-vla-4b-depth-posttrain-robotwin/blob/main/model.safetensors,"subagent checkpoint audit weights_batch_01.json: Official LingBot-VLA sources link the project, GitHub, and Hugging Face collection for arXiv 2601.18692. The collection includes public RoboTwin posttrain checkpoints for both no-depth and depth variants, and the HF API lists model.safetensors for the depth posttrain RoboTwin model. The GitHub/paper RoboTwin 2.0 section reports the same LingBot-VLA w/o depth and w/ depth results tracked for this row.",high,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2601.18692. Table 2 is titled simulation evaluation on RoboTwin 2.0 and separates Clean Scenes and Randomized Scenes. Section 5.3 states 50 representative tasks, 2,500 clean demos, 25,000 randomized demos, and randomized backgrounds, clutter, table height, and lighting.",high,official-ish,Reports standard RoboTwin 2.0 Clean/Easy and Randomized/Hard average success rates over 50 tasks using the official-style training/evaluation setup.
5,A Scalable Generative Robotic System for Foresighted 3D Goal State Prediction and Object Manipulation,2026,preprint,n/a,n/a,n/a,,n/a,n/a,10.2139/ssrn.6479481,Crossref term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation,Crossref reference list includes RoboTwin 2.0 seed work; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation,manual-citation,https://doi.org/10.2139/ssrn.6479481,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,2026-05-11 term/status audit: Crossref raw record for DOI 10.2139/ssrn.6479481 includes reference ref4 to 'Robotwin 2.0: A scalable data generator and benchmark with strong domain randomization for robust bimanual robotic manipulation'. Full text was not available in the cached audit.,medium,,
6,A Survey: Learning Embodied Intelligence from Physical Simulators and World Models,2025,arXiv.org,n/a,n/a,n/a,2507.00917,2025-07-01,source metadata publication date for arXiv 2507.00917,10.48550/arXiv.2507.00917,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/7ff60ef8ad135fb591664f6e12a75b4bf3bf6876; Semantic Scholar: 7ff60ef8ad135fb591664f6e12a75b4bf3bf6876,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2507.00917; snippet: zero-shot settings. Figure 8 : (1)The ALOHA series [ 49 , 153 ] feature a low-cost, open-source hardware system that enables the learning of fine-grained, complex, and long-horizon mobile bimanual manipulation tasks, such as slot battery and cooking shrimp. This provides a robotic platform foundation for subsequent research. (2)RoboTwin 2.0 [ 154 ] enhances dual-arm manipulation by generating simulated data in simulator. It offers 50 dual-arm tasks, 731 diverse objects, and 5 embodiments for comprehensive research and development. 3.3.2 Bimanual Manipulation Task Bimanual manipulation refers to robotic tasks that require the coordinated use...",medium,,
7,A Survey on Efficient Vision-Language-Action Models,2025,arXiv.org,n/a,n/a,n/a,2510.24795,2025-10-27,source metadata publication date for arXiv 2510.24795,10.48550/arXiv.2510.24795,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/a7a55c6470e4fb4d4a6cc899f22ae871d6477fe0; Semantic Scholar: a7a55c6470e4fb4d4a6cc899f22ae871d6477fe0; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2510.24795; snippet: llel simulation in Isaac Gym. A pre-trained policy is adopted to eliminate the need for manual teleoperation. cVLA [ 2 ] presents models trained on datasets generated via the ManiSkill simulator. The data generation pipeline employs analytical grasp models and privileged pose information to produce verified action trajectories. RoboTwin 2.0 [ 19 ] generated bimanual manipulation data through an expert-simulated pipeline. The automated pipeline employs a closed-loop architecture where a code-generation agent synthesizes task programs from natural language instructions, executes them in simulation, and iteratively refines them based on dual...",medium,,
8,ABot-M0: VLA Foundation Model for Robotic Manipulation with Action Manifold Learning,2026,arXiv.org,n/a,n/a,n/a,2602.11236,2026-02-11,source metadata publication date for arXiv 2602.11236,10.48550/arXiv.2602.11236,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/ce65343fa59211c18b3f49f3d7422eaa818941a8; Semantic Scholar: ce65343fa59211c18b3f49f3d7422eaa818941a8; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,"50 clean demonstrations per task plus 500 randomized demonstrations per task (2,500 clean and 25,000 randomized demonstrations over 50 tasks).",Table 6 reports RoboTwin 2.0 Clean vs Randomized success rates over 50+ tasks. ABot-M0 reports averages of 86.06% Clean and 85.08% Randomized. Baselines include pi0.5 at 42.98/43.84 and X-VLA at 72.80/72.84. Units are percent success rate.,86.06,85.08,,,,,72.80,X-VLA,72.84,X-VLA,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2602.11236. Section 6.2.4/Table 6 is RoboTwin 2.0 Benchmark Clean vs Randomized. The paragraph below Table 6 states ABot-M0 and baselines are trained on 2,500 clean plus 25,000 heavily randomized demonstrations.",high,weight-but-not-for-number,,"subagent checkpoint audit weights_batch_01.json: The official ABot-M0 project/GitHub and Hugging Face account now publish ABot-M0-RoboTwin2 with checkpoints/steps_125000_pytorch_model.pt, and the model card says it is for the RoboTwin2.0 Benchmark. However, the official README says the latest RoboTwin2.0 result was updated to 86.1, while the tracked row captures the earlier 81.2 number from the arXiv record. I found a public related checkpoint, but not one explicitly tied to the tracked 81.2 number.",medium,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2602.11236. Section 6.2.4/Table 6 is RoboTwin 2.0 Benchmark Clean vs Randomized. The paragraph below Table 6 states ABot-M0 and baselines are trained on 2,500 clean plus 25,000 heavily randomized demonstrations.",high,official-ish,Reports RoboTwin 2.0 Clean and Randomized average success rates over 50+ tasks with the official-style clean-plus-randomized demonstration setting.
9,Abstracting Robot Manipulation Skills via Mixture-of-Experts Diffusion Policies,2026,arXiv.org,n/a,n/a,n/a,2601.21251,2026-01-29,source metadata publication date for arXiv 2601.21251,10.48550/arXiv.2601.21251,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/3faa129ec2155b4b2cdf05c2087cdc8438dbe0d9; Semantic Scholar: 3faa129ec2155b4b2cdf05c2087cdc8438dbe0d9; S2 citation contexts available,reports-results,robotwin2,not reported,"Table 1 reports RobotTwin-2 multi-task success rates. Average success rates: DP 0.37, DP3 0.32, ACT 0.15, RDT 0.43, Discrete 0.52, Sparse DP 0.42, and SMP 0.54. Units are fraction success rates.",,,,,,,,,,,"2026-05-11 subagent result audit: cached full text 2601.21251.txt, Table 1, reports success rates on RobotTwin-2.",high,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,"2026-05-11 subagent result audit: cached full text 2601.21251.txt, Table 1, reports success rates on RobotTwin-2.",high,otherwise,Reports a custom six-task RobotTwin-2 multi-task aggregate rather than a standard RoboTwin 2.0 Easy/Clean or Hard/Randomized benchmark result.
10,ACoT-VLA: Action Chain-of-Thought for Vision-Language-Action Models,2026,arXiv.org,n/a,n/a,n/a,2601.11404,2026-01-16,source metadata publication date for arXiv 2601.11404,10.48550/arXiv.2601.11404,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/d44c24711af0100e854a82b6312bfe9c32274a4d; Semantic Scholar: d44c24711af0100e854a82b6312bfe9c32274a4d; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Citation graph edge exists, but automated abstract/arXiv full-text audit found no RoboTwin benchmark-result context; cached arXiv HTML text for 2601.11404.",low,,
