benchmark,track,paper_name,source_csv,source_line,current_column,previous_sota_column,current_score,previous_sota_score,reported_delta,score_unit,previous_sota_scaled_count,current_scaled_count,previous_sota_count,current_count,previous_sota_rounding_residual,current_rounding_residual,count_rounding_method,count_delta,T,S,R,alpha,z_critical,necessary_count_delta,sufficient_count_delta,necessary_score_delta,sufficient_score_delta,category,notes
LIBERO,spatial,Balancing Signal and Variance: Adaptive Offline RL Post-Training for VLA Flow Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,28,libero_spatial,libero_spatial_prev_sota,95.8,95.6,0.2,percent,478,479,478,479,0,0,python_round_nearest_even_matches_significance_cutoffs,1,10,50,1,0.05,1.644853627,3,10,0.6,2,provably_not_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Bridging Scale Discrepancies in Robotic Control via Language-Based Action Representations,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,31,libero_spatial,libero_spatial_prev_sota,84.8,84.7,0.1,percent,423.5,424,424,424,-0.5,0,python_round_nearest_even_matches_significance_cutoffs,0,10,50,1,0.05,1.644853627,3,20,0.6,4,provably_not_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,CoA-VLA: Improving Vision-Language-Action Models via Visual-Textual Chain-of-Affordance,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,33,libero_spatial,libero_spatial_prev_sota,85.3,84.7,0.6,percent,423.5,426.5,424,426,-0.5,0.5,python_round_nearest_even_matches_significance_cutoffs,2,10,50,1,0.05,1.644853627,3,20,0.6,4,provably_not_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,DiG-Flow: Discrepancy-Guided Flow Matching for Robust VLA Models,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,46,libero_spatial,libero_spatial_prev_sota,99.2,98.8,0.4,percent,494,496,494,496,0,0,python_round_nearest_even_matches_significance_cutoffs,2,10,50,1,0.05,1.644853627,3,5,0.6,1,provably_not_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,47,libero_spatial,libero_spatial_prev_sota,97.2,96.9,0.3,percent,484.5,486,485,486,-0.5,0,python_round_nearest_even_matches_significance_cutoffs,1,10,50,1,0.05,1.644853627,3,8,0.6,1.6,provably_not_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,dVLA: Diffusion Vision-Language-Action Model with Multimodal Chain-of-Thought,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,52,libero_spatial,libero_spatial_prev_sota,97.4,97.2,0.2,percent,486,487,486,487,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,1,10,50,1,0.05,1.644853627,3,8,0.6,1.6,provably_not_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,E0: Enhancing Generalization and Fine-Grained Control in VLA Models via Tweedie Discrete Diffusion,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,53,libero_spatial,libero_spatial_prev_sota,97.2,96.8,0.4,percent,484,486,484,486,0,0,python_round_nearest_even_matches_significance_cutoffs,2,10,50,1,0.05,1.644853627,3,9,0.6,1.8,provably_not_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,FreqPolicy: Efficient Flow-based Visuomotor Policy via Frequency Consistency,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,66,libero_spatial,libero_spatial_prev_sota,97,96.6,0.4,percent,483,485,483,485,0,0,python_round_nearest_even_matches_significance_cutoffs,2,10,50,1,0.05,1.644853627,3,9,0.6,1.8,provably_not_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,GeoPredict: Leveraging Predictive Kinematics and 3D Gaussian Geometry for Precise VLA Manipulation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,69,libero_spatial,libero_spatial_prev_sota,98,97.5,0.5,percent,487.5,490,488,490,-0.5,0,python_round_nearest_even_matches_significance_cutoffs,2,10,50,1,0.05,1.644853627,3,7,0.6,1.4,provably_not_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,"HiF-VLA: Hindsight, Insight and Foresight through Motion Representation for Vision-Language-Action Models",leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,72,libero_spatial,libero_spatial_prev_sota,98.8,98.4,0.4,percent,492,494,492,494,5.684341886e-14,0,python_round_nearest_even_matches_significance_cutoffs,2,10,50,1,0.05,1.644853627,3,6,0.6,1.2,provably_not_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
