paper_name,calvin_abc_d_atc,calvin_abc_d_prev_sota_atc
AdaWorldPolicy: World-Model-Driven Diffusion Policy with Online Adaptive Learning for Robotic Manipulation,3.54,3.42
A Dual-System Vision-Language-Action Model for Rational Manipulation,3.53,3.35
AnchorRefine: Synergy-Manipulation Based on Trajectory Anchor and Residual Refinement for Vision-Language-Action Models,4.4,4.31
Any3D-VLA: Enhancing VLA Robustness via Diverse Point Clouds,2.68,3.22
AtomicVLA: Unlocking the Potential of Atomic Skill Learning in Robots,4.09,4.02
BagelVLA: Enhancing Long-Horizon Manipulation via Interleaved Vision-Language-Action Generation,4.405,4.33
Being-H0.7: A Latent World-Action Model from Egocentric Videos,4.48,4.48
Chain of World: World Model Thinking in Latent Motion,4.211,4.102
Device-Conditioned Neural Architecture Search for Efficient Robotic Manipulation,3.67,3.72
Disentangled Robot Learning via Separate Forward and Inverse Dynamics Pretraining,4.51,4.33
DySL-VLA: Efficient Vision-Language-Action Model Inference via Dynamic-Static Layer-Skipping for Robot Manipulation,2.83,2.85
EmbodiedMidtrain: Bridging the Gap between Vision-Language Models and Vision-Language-Action Models via Mid-training,3.714,4.142
FASTER: Rethinking Real-Time Flow VLAs,4.292,4.313
From Video to Control: A Survey of Learning Manipulation Interfaces from Temporal Visual Data,4.33,4.33
Future Optical Flow Prediction Improves Robot Control & Video Generation,4.48,4.44
Global Prior Meets Local Consistency: Dual-Memory Augmented Vision-Language-Action Model for Efficient Robotic Manipulation,4.45,4.29
Green-VLA: Staged Vision-Language-Action Model for Generalist Robots,4.63,4.53
HELM: Harness-Enhanced Long-horizon Memory for Vision-Language-Action Manipulation,3.58,3.41
Learning Diffusion Policy from Primitive Skills for Robot Manipulation,4.49,3.92
MMaDA-VLA: Large Diffusion Vision-Language-Action Model with Unified Multi-Modal Instruction and Generation,4.78,4.44
MultihopSpatial: Multi-hop Compositional Spatial Reasoning Benchmark for Vision-Language Model,3.98,3.75
Neural Implicit Action Fields: From Discrete Waypoints to Continuous Functions for Vision-Language-Action Models,4.47,4.44
NS-VLA: Towards Neuro-Symbolic Vision-Language-Action Models,4.72,4.50
"OmniStream: Mastering Perception, Reconstruction and Action in Continuous Streams",3.885,4.057
ProgressVLA: Progress-Guided Diffusion Policy for Vision-Language Robotic Manipulation,3.73,4.04
Recurrent-Depth VLA: Implicit Test-Time Compute Scaling of Vision-Language-Action Models via Latent Iterative Reasoning,3.39,3.27
Rethinking the Practicality of Vision-language-action Model: A Comprehensive Benchmark and An Improved Baseline,3.68,3.42
RoboAlign: Learning Test-Time Reasoning for Language-Action Alignment in Vision-Language-Action Models,2.57,2.32
S-VAM: Shortcut Video-Action Model by Self-Distilling Geometric and Semantic Foresight,4.16,4.08
TempoFit: Plug-and-Play Layer-Wise Temporal KV Memory for Long-Horizon Vision-Language-Action Manipulation,3.87,3.83
Think Proprioceptively: Embodied Visual Reasoning for VLA Manipulation,4.55,4.53
UAOR: Uncertainty-aware Observation Reinjection for Vision-Language-Action Models,3.67,3.55
UniLACT: Depth-Aware RGB Latent Action Learning for Vision-Language-Action Models,3.1,3.06
Unmasking the Illusion of Embodied Reasoning in Vision-Language-Action Models,4.086,4.244
VAMPO: Policy Optimization for Improving Visual Dynamics in Video Action Models,4.56,4.37
VISTA: Enhancing Visual Conditioning via Track-Following Preference Optimization in Vision-Language-Action Models,4.02,3.95
vla-eval: A Unified Evaluation Harness for Vision-Language-Action Models,4.30,4.43
VLA-IAP: Training-Free Visual Token Pruning via Interaction Alignment for Vision-Language-Action Models,4.45,4.43
VLM4VLA: Revisiting Vision-Language-Models in Vision-Language-Action Models,4.142,3.509
World Model for Robot Learning: A Comprehensive Survey,4.44,4.44
Xiaomi-Robotics-0: An Open-Sourced Vision-Language-Action Model with Real-Time Execution,4.75,4.53
3D Dynamics-Aware Manipulation: Endowing Manipulation Policies with 3D Foresight,4.23,4.08
ADPro: a Test-time Adaptive Diffusion Policy via Manifold-constrained Denoising and Task-aware Initialization for Robotic Manipulation,3.64,3.35
AR-VRM: Imitating Human Motions for Visual Robot Manipulation with Analogical Reasoning,3.29,3.06
Autoregressive Flow Matching for Motion Prediction,3.74,3.31
AVA-VLA: Improving Vision-Language-Action models with Active Visual Attention,4.65,4.53
BEAST: Efficient Tokenization of B-Splines Encoded Action Sequences for Imitation Learning,4.42,4.29
CEED-VLA: Consistency Vision-Language-Action Model with Early-Exit Decoding,3.67,3.70
CoMo: Learning Continuous Latent Motion from Internet Videos for Scalable Robot Learning,3.247,2.255
Dexbotic: Open-Source Vision-Language-Action Toolbox,4.063,3.47
Diffusion Trajectory-guided Policy for Long-horizon Robot Manipulation,3.43,3.27
DISCO: Language-Guided Manipulation With Diffusion Policies and Constrained Inpainting,3.57,3.27
Dita: Scaling Diffusion Transformer for Generalist Vision-Language-Action Policy,3.61,4.04
DreamVLA: A Vision-Language-Action Model Dreamed with Comprehensive World Knowledge,4.44,4.29
