ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,SimplerEnv usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Google Robot / Fractal VM,Google Robot / Fractal VA,WidowX / Bridge,Google Robot / Fractal VM previous SOTA success rate,Google Robot / Fractal VM previous SOTA name,Google Robot / Fractal VA previous SOTA success rate,Google Robot / Fractal VA previous SOTA name,WidowX / Bridge previous SOTA success rate,WidowX / Bridge previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
1,Evaluating Real-World Robot Manipulation Policies in Simulation,2024,CoRL 2024 / PMLR 270; arXiv preprint,CoRL 2024 / PMLR 270,official seed paper/PMLR metadata,high,2405.05941,2024-05-09,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2405.05941,seed identity: arXiv; PMLR; project page; GitHub,seed work for SIMPLER / SimplerEnv,seed-work,https://arxiv.org/abs/2405.05941; https://proceedings.mlr.press/v270/li25c.html; https://simpler-env.github.io/; https://github.com/simpler-env/SimplerEnv,seed-work,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Canonical SIMPLER seed paper and project release.,n/a,,
2,3D-Mix for VLA: A Plug-and-Play Module for Integrating VGGT-based 3D Information into Vision-Language-Action Models,2026,preprint/unknown,n/a,n/a,n/a,2603.24393,2026-03-25,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/aa5a705c49851adec23ca2fa694f47a5101c50cd; https://arxiv.org/abs/2603.24393; https://openalex.org/W7141772218,reports-results,widowx-bridge,not reported,WidowX / Bridge=68.23,,,68.23,,,,,64.58,RoboBrain2.5-8B,"Subagent verified SimplerEnv result in local full text, Tables 1-2.",high,not-found,,"The tracked SIMPLER/WidowX number is the 68.23 average for the GatedFusion/3D-Mix Qwen3-VL-4B-style result. The paper-linked GitHub repository is not public/returns 404, the ZGC-EmbodyAI public repo list does not include 3DMix-for-VLA, and Hugging Face searches for 3DMix/3D-Mix under the likely org returned no model artifacts. Public base components such as VGGT or Qwen-family models would not be the trained 3D-Mix policy producing 68.23.",high,"Subagent verified SimplerEnv result in local full text, Tables 1-2.",high,official-ish,"Reports an explicit standard SimplerEnv WidowX / Bridge success-rate result, 68.23, with high-confidence table evidence."
3,A Pragmatic VLA Foundation Model,2026,arXiv.org,n/a,n/a,n/a,2601.18692,2026-01-26,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2601.18692,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/f1075e309a82e46aaca3f03bf70697219e17604a; https://arxiv.org/abs/2601.18692; DOI 10.48550/arXiv.2601.18692,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
4,A survey of robotic manipulation: From bottom-up approaches to end-to-end paradigms with LLMs,2026,Neurocomputing,Neurocomputing,Subagent verified Neurocomputing DOI/venue metadata; no free full text was available for usage audit.,high,,n/a,n/a,10.1016/j.neucom.2026.132921,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/9d817b67e14c94d4b0f3b98d5f2b035b7e00d84f; DOI 10.1016/j.neucom.2026.132921,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,No open full text/PDF was converted in the audit cache; citation graph confirms the citation only.,low,,
5,AC^2-VLA: Action-Context-Aware Adaptive Computation in Vision-Language-Action Models for Efficient Robotic Manipulation,2026,arXiv.org,n/a,n/a,n/a,2601.19634,2026-01-27,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2601.19634,Semantic Scholar citation graph; OpenAlex term search: SIMPLER Google Robot Bridge; OpenAlex term search: SIMPLER WidowX,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/04cf2c44076c84f82673b2ca901f29ec46c7a3e3; https://arxiv.org/abs/2601.19634; DOI 10.48550/arXiv.2601.19634; https://openalex.org/W7126001034,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,Google Robot / Fractal VM=76.8; Google Robot / Fractal VA=61.6; WidowX / Bridge=54.5,76.8,61.6,54.5,76.4,EfficientVLA,63.2,EfficientVLA,51.3,CogACT,Suite-specific sortable columns record cleaned primary/best average or overall values from the full-text result audit.,high,weight-but-not-for-number,,"The tracked numbers are AC^2-VLA's SimplerEnv results after training the action-context router from CogACT-Base: Google Robot VM=76.8, VA=61.6, and WidowX/Bridge=54.5. The official repo is code/instructions only: it requires a user-provided CogACT-Base checkpoint path and has no releases or AC^2-VLA result checkpoint. CogACT-Base weights are public, but they are the dense/base initialization, not the trained AC^2-VLA router/policy that produced the tracked numbers.",high,Suite columns contain cleaned average/overall SimplerEnv result values as sortable floats without percent signs; blank suite cells were left blank when no clean value was found.,high,official-ish,"Reports standard SimplerEnv Google Robot / Fractal VM, Google Robot / Fractal VA, and WidowX / Bridge success-rate results."
6,ActionCodec: What Makes for Good Action Tokenizers,2026,arXiv.org,n/a,n/a,n/a,2602.15397,2026-02-17,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.15397,Semantic Scholar citation graph; OpenAlex term search: SIMPLER WidowX; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/4a0d4a622640312f192254d505e939c58340ef4c; https://arxiv.org/abs/2602.15397; DOI 10.48550/arXiv.2602.15397; https://openalex.org/W7130482428,reports-results,widowx-bridge,not reported,WidowX / Bridge=65.2,,,65.2,,,,,67.9,pi0,Independent subagent full-text/result audit verified: WidowX / Bridge=65.2,high,weight-but-not-for-number,,"The tracked number is ActionCodec-BAR's Simpler-WidowX/Bridge average of 65.2 after VLA fine-tuning on BridgeData. Public ZibinDong Hugging Face artifacts include ActionCodec tokenizer checkpoints, bridge tokenizer variants, and SmolVLM2 ActionCodec VLA checkpoints for LIBERO. I found no SmolVLM2/ActionCodec-BAR Bridge or Simpler-WidowX policy checkpoint corresponding to the 65.2 reported number, so the public artifacts are related but not the reported-number policy.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=65.2,high,official-ish,"Reports an explicit standard SimplerEnv WidowX / Bridge success-rate result, 65.2."
7,AnchorVLA4D: an Anchor-Based Spatial-Temporal Vision-Language-Action Model for Robotic Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2603.12730,2026-03-13,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SIMPLER WidowX,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/508debc35fd81313117442ad6261de55a9c6e6fc; https://arxiv.org/abs/2603.12730; https://openalex.org/W7137176332; https://openalex.org/W7138824742,reports-results,widowx-bridge,not reported,WidowX / Bridge=64.6,,,64.6,,,,,71.9,MemoryVLA,Independent subagent full-text/result audit verified: WidowX / Bridge=64.6,high,weight-but-not-for-number,,"The tracked number is AnchorVLA4D's Simpler WidowX average of 64.6 after BridgeV2 training/fine-tuning. The official GitHub repository linked by the paper contains only a minimal README and no checkpoint files or releases, and Hugging Face searches for AnchorVLA4D/AnchorVLA returned no model artifacts. The paper says it initializes from open-source Qwen2.5-VL and released ScaleDP-L checkpoints, but those are base/action-head initialization weights, not the fine-tuned AnchorVLA4D policy that produced 64.6.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=64.6,high,official-ish,"Reports an explicit standard SimplerEnv WidowX / Bridge success-rate result, 64.6."
8,AnyCamVLA: Zero-Shot Camera Adaptation for Viewpoint Robust Vision-Language-Action Models,2026,preprint/unknown,n/a,n/a,n/a,2603.05868,2026-03-06,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/bb14c9ab780bf77bd587c706d3629a9ff65ccc5f; https://arxiv.org/abs/2603.05868,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
9,AnySlot: Goal-Conditioned Vision-Language-Action Policies for Zero-Shot Slot-Level Placement,2026,preprint/unknown,n/a,n/a,n/a,2604.10432,2026-04-12,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/a3ab544fbbfa38648790cf4a967975bb162cf8a8; https://arxiv.org/abs/2604.10432,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
10,AR-VLA: True Autoregressive Action Expert for Vision-Language-Action Models,2026,preprint/unknown,n/a,n/a,n/a,2603.10126,2026-03-10,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/a9de4f59cd543a09d727a7e6b4c09b2d90b0e19d; https://arxiv.org/abs/2603.10126,reports-results,widowx-bridge,not reported,WidowX / Bridge=61.5,,,61.5,,,,,52.1,CogACT,Suite-specific sortable columns record cleaned primary/best average or overall values from the full-text result audit.,high,number-associated weight available,https://huggingface.co/INSAIT-Institute/arvla-bridge,"The tracked number is AR-VLA's BridgeV2-to-SIMPLER Visual Matching average of 61.5. The paper reports AR-VLA (Ours)=61.5 on SimplerEnv after BridgeV2 training. The official code README says the generalist AR-VLA model pretrained on BridgeV2 is available on Hugging Face, and the INSAIT-Institute/arvla-bridge model card says the weights are fine-tuned for a WidowX setup and work out of the box on SimplerEnv; Hugging Face metadata lists safetensors shards and processor/stat files.",high,Suite columns contain cleaned average/overall SimplerEnv result values as sortable floats without percent signs; blank suite cells were left blank when no clean value was found.,high,official-ish,"Reports an explicit standard SimplerEnv WidowX / Bridge success-rate result, 61.5."
