ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,OpenAlex arXiv cited-by count,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboCasa usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RSS24 reported success rate,RoboCasa365 reported success rate,GR1 reported success rate,RSS24 previous SOTA success rate,RSS24 previous SOTA name,RoboCasa365 previous SOTA success rate,RoboCasa365 previous SOTA name,GR1 previous SOTA success rate,GR1 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
1,--,2026,Journal of Image and Graphics,Journal of Image and Graphics,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.11834/jig.250544,OpenAlex term search: RoboCasa,term match; manual audit: no countable RoboCasa citation confirmed,term-only,https://openalex.org/W7151313267; OpenAlex: W7151313267,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
2,3D Generation for Embodied AI and Robotic Simulation: A Survey,2026,ArXiv.org,n/a,n/a,n/a,2604.26509,,2026-04-29,arXiv API published date,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7159734209; OpenAlex: W7159734209,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Survey only: Fig. 11/Table 7 list RoboCasa as a robot demonstration dataset with 100K+ trajectories/100 tasks; no own RoboCasa evaluation metric.,high,,
3,A Hierarchical Spatiotemporal Action Tokenizer for In-Context Imitation Learning in Robotics,2026,ArXiv.org,n/a,arXiv API comment and journal_ref are blank; local text and arXiv/project search did not show an accepted venue.,n/a,2604.15215,,2026-04-16,arXiv API for 2604.15215 returned 2604.15215v1 published 2026-04-16T16:47:08Z.,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050; term match,indexed-citation,https://openalex.org/W7154864886; OpenAlex: W7154864886,reports-results,rss24,not reported,RoboCasa success rate. Table 1 main: ICRT+HiST-AT (ours) avg 0.590; LipVQ-VAE 0.530; LFQ-VAE 0.489; Bin 0.483; BC-Transformer 0.477; VQ-VAE 0.475; FAST 0.471; MLP 0.442; MCR 0.120; ACT 0.083. Table 6 MimicGen->Human: HiST-AT avg 0.625 vs LipVQ-VAE 0.525. Table 7 zero-shot: HiST-AT avg 0.114 vs LipVQ-VAE 0.052.,59.0,,,53.0,ICRT+LipVQ-VAE,,,,,"Local text /tmp/robocasa_protocol_audit/txt/3_https_arxiv.org_pdf_2604.15215.txt, Sec. 4.1 and Tables 1, 6, 7 report RoboCasa success-rate averages; Table 3 ablation gives baseline 0.530, spatiotemporal 0.552, hierarchical 0.573, both/HiST-AT 0.590.",high,not-found,,"arXiv page https://arxiv.org/abs/2604.15215 lists only paper/PDF/HTML/TeX access and no official project, GitHub, Hugging Face, or checkpoint link.; Exact-title, HiST-AT, GitHub, Hugging Face, and checkpoint searches found arXiv/aggregator pages only, not a public HiST-AT RoboCasa checkpoint. Notes: No number-associated HiST-AT policy weights were found; related tokenizer/source-code acknowledgements are not RoboCasa result checkpoints.",high,"Sec. 4.1 reports RoboCasa success rates: seven tasks under the standard protocol, with RoboCasa results in Tables 1, 3, 6, and 7.",high,official-ish,"Reports RoboCasa RSS24-style success rates on the standard seven-task RoboCasa evaluation, including a 59.0% average for HiST-AT."
4,A Mechanistic Analysis of Sim-and-Real Co-Training in Generative Robot Policies,2026,preprint/unknown,n/a,n/a,n/a,2604.13645,,2026-04-15,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/c2ca49b08fe8afe4a2902e0b74ec780c11f5b081,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"RoboCasa appears only in the references; the reported experiments are sim-and-real co-training, not RoboCasa evaluation.",high,,
5,A Pragmatic VLA Foundation Model,2026,arXiv.org,n/a,n/a,n/a,2601.18692,,2026-01-26,arXiv API published date,10.48550/arXiv.2601.18692,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7125877076; OpenAlex: W7125877076,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Only reference [20] cites RoboCasa; experiments/results are on GM-100 and RoboTwin 2.0, not RoboCasa.",high,,
6,A Survey on Deep Generative Models for Robot Learning From Multimodal Demonstrations,2024,IEEE Transactions on robotics,IEEE Transactions on robotics,derived from Venue/status/DOI metadata,medium,2408.04380,,2024-08-08,arXiv API published date,10.1109/TRO.2025.3631816,Semantic Scholar citation graph; OpenAlex term search: RoboCasa; OpenAIRE ScholeXplorer citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://www.semanticscholar.org/paper/44715a93a2e59f1afdb3aa8a2b4894de727918f5; https://openalex.org/W4405425111; OpenAlex: W4405425111; https://dx.doi.org/10.48550/arxiv.2408.04380; Merged duplicate DOI(s): 10.48550/arXiv.2408.04380,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Merged duplicate row 313 confirms RoboCasa appears as a cited/reference benchmark only; no paper-specific RoboCasa experiment or metric is reported.,medium,,
7,Action-Sketcher: From Reasoning to Action via Visual Sketches for Long-Horizon Robotic Manipulation,2026,arXiv.org,n/a,n/a,n/a,2601.01618,,2026-01-04,arXiv API published date,10.48550/arXiv.2601.01618,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/ce9ba7954c4604a4ec6aa213b2bab4fee2df1614,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears in the bibliography/reference list only; no RoboCasa experiment or metric.,high,,
8,Adaptive Action Chunking at Inference-time for Vision-Language-Action Models,2026,preprint/unknown,CVPR 2026,arXiv API comment says 'accepted by CVPR 2026'; arXiv/search snippets for the paper repeat that comment.,high,2604.04161,0,2026-04-05,arXiv API for 2604.04161 returned 2604.04161v2 with published/first version timestamp 2026-04-05T16:03:32Z.,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/e9c03c3a3da64703583673c0f189e0a2b3b4c196,reports-results,rss24,not reported,"Table 1 RoboCasa success rate (%): GR00T+AAC (ours) Relo 44.4, Cont 82.2, Rot 61.4, Button 81.3, Avg 62.0. Baselines: GR00T default h=16 Avg 59.7; h=2 Avg 47.0; h=4 Avg 56.2; h=8 Avg 61.2; h=12 Avg 60.2.",62.0,,,61.2,GR00T (h=8),,,,,"Local text /tmp/robocasa_protocol_audit/txt/8_https_arxiv.org_pdf_2604.04161.txt, Sec. 5.1/Table 1, 'Main Results on RoboCasa and LIBERO Benchmarks', reports success rate (%) for RoboCasa task subsets and overall average.",high,weight-but-not-for-number,,"arXiv https://arxiv.org/abs/2604.04161 points to the project page and says videos/source code are public, but https://lance-lot.github.io/adaptive-chunking.github.io/ has a non-linked Code label and no checkpoint link.; The paper states RoboCasa uses a GR00T N1.5 model fine-tuned on 100 MimicGen trajectories for 90 epochs before AAC inference; no fine-tuned GR00T+AAC RoboCasa checkpoint was found.; The public base model https://huggingface.co/nvidia/GR00T-N1.5-3B has safetensors files, but it is only the initialization/base model, not the fine-tuned policy that produced the 62.0 RoboCasa average. Notes: Public GR00T N1.5 weights are related but not sufficient for the tracked GR00T+AAC number.",medium,"Sec. 5.1/Table 1 report success rates on RoboCasa Kitchen, a 24-task benchmark grouped into Relocation/Container/Rotation/Button; Table 6 gives per-task RoboCasa success rates.",high,official-ish,Reports RoboCasa RSS24-style success rates on the 24-task RoboCasa Kitchen benchmark with an overall 62.0% average.
9,Adaptive Q-Chunking for Offline-to-Online Reinforcement Learning,2026,arXiv (Cornell University),n/a,"arXiv API comment and journal_ref are blank; web search found arXiv/preprint listings only, no accepted venue.",n/a,2605.05544,0,2026-05-07,arXiv API for 2605.05544 returned 2605.05544v1 published 2026-05-07T00:48:25Z.,10.48550/arxiv.2605.05544,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7160616345; OpenAlex: W7160616345,reports-results,gr1,"1,000 successful human teleoperation demonstrations per task","RoboCasa-GR1 Table 8 success rate (%), 200 eval episodes/task: AQC (ours) Average 63.2; QC 55.5; Filtered BC 54.9; GR00T N1.6 47.6; DQC 46.1. Figure 4 gives the same average ordering.",,,63.2,,,,,55.5,GR00T N1.6 + QC,"Local text /tmp/robocasa_protocol_audit/txt/9_https_arxiv.org_pdf_2605.05544.txt, Sec. 6.4 and Appendix F/Table 8, 'RoboCasa GR1 tabletop results'.",high,weight-but-not-for-number,,"arXiv https://arxiv.org/abs/2605.05544 has paper/PDF/HTML/TeX links but no code, project, or checkpoint link for AQC.; GitHub and Hugging Face searches for Adaptive Q-Chunking/AQC RoboCasa-GR1 found no public AQC actor or critic checkpoint.; The public base model https://huggingface.co/nvidia/GR00T-N1.6-3B has safetensors files, but the tracked AQC 63.2 result depends on fine-tuning plus AQC critic heads. Notes: GR00T N1.6 is a related/base checkpoint, not the AQC policy/critic checkpoint that produced the tracked RoboCasa-GR1 number.",medium,"Sec. 6.4/Fig. 4 and Appendix F/Table 8 report RoboCasa-GR1 tabletop success rates across 24 tasks; Appendix C.3 states each task provides 1,000 demonstrations and the method collects 300 rollouts per task.",high,official-ish,"Reports standard RoboCasa-GR1/Tabletop success rates over 24 tasks, including a 63.2% average for AQC."
10,Advances and Innovations in the Multi-Agent Robotic System (MARS) Challenge,2026,arXiv.org,"NeurIPS 2025 Workshop on Space in Vision, Language, and Embodied AI (MARS Challenge)","arXiv API comment says 'MARS Challenge @ NeurIPS 2025 Workshop on Space in Vision, Language, and Embodied AI'; local PDF title/footer repeats this workshop status.",high,2601.18733,,2026-01-26,arXiv API for 2601.18733 returned 2601.18733v1 published 2026-01-26T17:56:19Z.,10.48550/arXiv.2601.18733,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/d2ee5b677819f38badfcb38422774c4ccb86f181,reports-results,rss24,not reported,"MARS Planning Track Table 1 Top-10 scores on RoboCasa-derived planning tasks: EfficientAI 0.893; TrustPath AI 0.858; jizhiruwo 0.722; yeyeyeyeye 0.703; jn12xxh 0.659; FAITA Group 0.586; A 0.560; HCB5206 0.511; OpenXS 0.500; Sing, dance... 0.472. Figure 2 hardest-task average scores range from task 367/350 at 0.29 down to task 147 at 0.16.",,,,,,,,,,"Local text /tmp/robocasa_protocol_audit/txt/10_https_arxiv.org_pdf_2601.18733.txt plus rendered PDF page 3, Table 1 'Top 10 Scores' and Fig. 2 'Top 20 Hardest Tasks'. Sec. 2.2.1 states task scenarios are drawn from RoboCasa.",high,not-found,,"The challenge page https://mars-eai.github.io/MARS-Challenge-Webpage/ links baseline code for the planning/control tracks, not public top-team weights or submitted solution checkpoints.; MARS-EAI/VIKI-R says the planning repo is a baseline example and requires submission.csv plus code.zip for competition submission; its GitHub page shows no published releases.; MARS-EAI/RoboFactory describes training/evaluation and private submission packaging with a checkpoint file, but its GitHub page also shows no published releases or public submitted checkpoints. Notes: The tracked numbers are leaderboard/team scores on RoboCasa-derived planning tasks; public repos provide baseline infrastructure, not the result-producing team artifacts.",medium,"MARS Planning Track task scenarios are drawn from the RoboCasa dataset, and Table 1 reports team scores/accuracy for that RoboCasa-derived planning track.",medium,otherwise,"Reports MARS Planning Track leaderboard scores on RoboCasa-derived planning tasks, not standard RoboCasa RSS24, RoboCasa365, or GR1 success-rate evaluation."
