benchmark,track,paper_name,source_csv,source_line,current_column,previous_sota_column,current_score,previous_sota_score,reported_delta,score_unit,previous_sota_scaled_count,current_scaled_count,previous_sota_count,current_count,previous_sota_rounding_residual,current_rounding_residual,count_rounding_method,count_delta,T,S,R,alpha,z_critical,necessary_count_delta,sufficient_count_delta,necessary_score_delta,sufficient_score_delta,category,notes
LIBERO,spatial,Depth Helps: Improving Pre-trained RGB-based Policy with Depth Information Injection,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,5,libero_spatial,libero_spatial_prev_sota,71.2,69.6,1.6,percent,348,356,348,356,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,8,10,50,1,0.05,1.644853627,3,28,0.6,5.6,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Diffusion Transformer Policy,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,6,libero_spatial,libero_spatial_prev_sota,84.2,84.9,-0.7,percent,424.5,421,425,421,-0.5,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,-4,10,50,1,0.05,1.644853627,3,19,0.6,3.8,no_improvement,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,GRAPE: Generalizing Robot Policy via Preference Alignment,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,9,libero_spatial,libero_spatial_prev_sota,85,84.2,0.8,percent,421,425,421,425,5.684341886e-14,0,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,20,0.6,4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,MaIL: Improving Imitation Learning with Mamba,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,10,libero_spatial,libero_spatial_prev_sota,53.8,47.3,6.5,percent,236.5,269,236,269,0.5,-5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,33,10,50,1,0.05,1.644853627,3,37,0.6,7.4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Multimodal Diffusion Transformer: Learning Versatile Behavior from Multimodal Goals,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,11,libero_spatial,libero_spatial_prev_sota,78.5,71.8,6.7,percent,359,392.5,359,392,0,0.5,python_round_nearest_even_matches_significance_cutoffs,33,10,50,1,0.05,1.644853627,3,27,0.6,5.4,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,OpenVLA: An Open-Source Vision-Language-Action Model,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,12,libero_spatial,libero_spatial_prev_sota,84.7,78.9,5.8,percent,394.5,423.5,394,424,0.5,-0.5,python_round_nearest_even_matches_significance_cutoffs,30,10,50,1,0.05,1.644853627,3,23,0.6,4.6,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Quantization-Aware Imitation-Learning for Resource-Efficient Robotic Control,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,14,libero_spatial,libero_spatial_prev_sota,84.4,83.6,0.8,percent,418,422,418,422,0,5.684341886e-14,python_round_nearest_even_matches_significance_cutoffs,4,10,50,1,0.05,1.644853627,3,20,0.6,4,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Robo-MUTUAL: Robotic Multimodal Task Specification via Unimodal Learning,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,16,libero_spatial,libero_spatial_prev_sota,72,44.1,27.9,percent,220.5,360,220,360,0.5,0,python_round_nearest_even_matches_significance_cutoffs,140,10,50,1,0.05,1.644853627,3,37,0.6,7.4,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,Task-agnostic Lifelong Robot Learning with Retrieval-based Weighted Local Adaptation,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,17,libero_spatial,libero_spatial_prev_sota,39.83,15.67,24.16,percent,78.35,199.15,78,199,0.35,0.15,python_round_nearest_even_matches_significance_cutoffs,121,10,50,1,0.05,1.644853627,3,23,0.6,4.6,provably_significant,Per-suite binary success rate over 10 tasks x 50 official trials.
LIBERO,spatial,TraceVLA: Visual Trace Prompting Enhances Spatial-Temporal Awareness for Generalist Robotic Policies,leaderboards/stat_significance_sam_export_20260522T233929/sam_libero_official_prev_sota.csv,18,libero_spatial,libero_spatial_prev_sota,84.6,82.6,2,percent,413,423,413,423,0,0,python_round_nearest_even_matches_significance_cutoffs,10,10,50,1,0.05,1.644853627,3,21,0.6,4.2,indeterminate,Per-suite binary success rate over 10 tasks x 50 official trials.
