record_id,claim_ids,experiments,environment_status,python,cuda,nvidia_driver,pytorch,key_package_versions,evidence,notes
shortcut_libero_dino_mlp,shortcut_libero,libero_spatial_step13425;libero_object_step16110;libero_goal_step5370;libero_10_step15215,verified_core_runtime_unknown_full_lock,3.8.20,12.1,unknown,2.4.1+cu121,conda_env=libero;full_package_lock=unknown;config_sha256_per_suite_recorded_in_checkpoint_manifest,Policy_Eval_Done_Right artifact manifests at commit 4b9b24987cfe3b697fe0270f8c81c02311897f25,Core Python CUDA and Torch versions were recovered from first-hand artifact manifests but the complete package lockfile was not.
shortcut_calvin_dino_mlp_dd,shortcut_calvin,task_D_D_step40000,verified_core_runtime_unknown_full_lock,3.8.20,12.1,unknown,2.4.1+cu121,conda_env=calvin;full_package_lock=unknown;config_sha256=f6f3da90f4b14d0d362e7f4227779832c3e1a59c746d06740723571e68a87bb4,Policy_Eval_Done_Right_calvin_DD_paper_may18 artifact manifest at commit 8ca19ef58a6ac80b9caaf0146644868c5803791d,Core Python CUDA and Torch versions were recovered from first-hand artifact manifests but the complete package lockfile was not.
shortcut_calvin_dino_mlp_abcd,shortcut_calvin,task_ABCD_D_step100000,verified_core_runtime_unknown_full_lock,3.8.20,12.1,unknown,2.4.1+cu121,conda_env=calvin;full_package_lock=unknown;config_sha256=3e13bbaa049ad0121f76194dcedb06166827375419ad9644758181b6b92db5b4,Policy_Eval_Done_Right official_eval_apr24_ABCDD_step100000_retry1_py38fix artifact manifest at commit b11e4b24db157884782db5355b2af6b2603d2175,Core Python CUDA and Torch versions were recovered from first-hand artifact manifests but the complete package lockfile was not.
shortcut_calvin_dino_mlp_abc_supporting,shortcut_calvin,task_ABC_D_step100000,checkpoint_hash_verified_runtime_unknown,unknown,unknown,unknown,unknown,full_package_lock=unknown,Policy_Eval_Done_Right local checkpoint hash from outputs/may13_ABC_start_offset_0_end_offset_0_seed_0,The supporting ABC to D shortcut cell has a verified checkpoint hash but no recovered full official artifact manifest or runtime package snapshot.
libero_goal_5x5k_policies,libero_goal_pairwise_d,hif_vla;openvla_oft;pi05_n_action_steps_10;simvla;spatial_forcing,best_effort_checkpoint_identity_runtime_lock_unknown,unknown,unknown,unknown,unknown,runner_package_lock=unknown;hf_checkpoint_revisions_recorded_in_checkpoint_manifest,Released LIBERO Goal 5x5k rows and Hugging Face cache metadata,Per-rollout outcomes are released but the exact runner package lockfile was not recovered.
libero_layer2_policies,libero_layer2,spatial_forcing;simvla;pi05_lerobot,best_effort_checkpoint_identity_runtime_lock_unknown,unknown,unknown,unknown,unknown,runner_package_lock=unknown;hf_checkpoint_revisions_recorded_in_checkpoint_manifest,Released LIBERO Layer 2 summaries and local scratch checkpoint metadata,The public release includes policy-level summaries only for LIBERO Layer 2 and no exact runner package lockfile was recovered.
simplerenv_protocols,simplerenv_fixed_grid;simplerenv_protocol_abcde,cogact;spatialvla;internvla_m1;xvla;dexbotic,best_effort_env_prefixes_only,3.10,unknown,unknown,unknown,env_prefixes_recorded_for_cogact_spatialvla_xvla;internvla_and_dexbotic_server_placeholders_recorded;full_package_lock=unknown,Released SimplerEnv rows and runner files from corl_2026_supp,Runner files preserve environment prefixes and container placeholders but exact package snapshots and container image digests were not preserved.
calvin_xvla,calvin_protocol1;calvin_fresh_sequence,X-VLA,verified_pip_freeze_excerpt_python_unknown,unknown,unknown,unknown,2.1.2+cu121,transformers==4.51.3;timm==1.0.12;tensorflow==2.15.0;sapien==2.2.2;tokenizers==0.21.4;safetensors==0.4.5;numpy==1.26.3;scipy==1.15.0;torch_cuda_build=cu121,Eval_Policies_CoRL CALVIN release metadata pip freeze excerpts,The exact full environment export is not in this public repo but key package versions were recovered from first-hand metadata.
calvin_gr1_roboflamingo,calvin_protocol1;calvin_fresh_sequence,GR-1;RoboFlamingo,verified_pip_freeze_excerpt_python_unknown,unknown,unknown,unknown,2.4.1,transformers==4.46.3;huggingface-hub==0.36.0;tokenizers==0.20.3;safetensors==0.5.3;numpy==1.23.5;pandas==2.0.3;scipy==1.10.1,Eval_Policies_CoRL CALVIN release metadata pip freeze excerpts,The exact full environment export is not in this public repo but key package versions were recovered from first-hand metadata.
dsd_widowx_scripted,widowx_scripted_dsd_91_of_96,stack;carrot;spoon;eggplant,repo_config_known_lock_unknown,unknown,unknown,unknown,unknown,dino_model=dinov2_vits14;amp_dtype=bf16;batch_size=64;replan_steps=5;full_package_lock=unknown,Data_Source_Dependency_CoRL commit ef88a2cb23e754307b5f70053e820d3c437bec49 and public DSD config,The public config preserves the policy recipe and source repo commit but no exact package lockfile or DINO backbone file hash was recovered.
