ID,Benchmark,Candidate work,Year,ArXiv / DOI,Parsed arXiv,Parsed DOI,Found via,Match reason,Initial status,Link / notes,Paper available on arXiv,Audited arXiv ID,ArXiv URL,ArXiv evidence,ArXiv confidence,Benchmark numbers reported,Benchmark usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Reported numbers evidence,Reported numbers confidence,Audit notes,Audit batch
LPLUS-000,LIBERO Plus,LIBERO-Plus: In-depth Robustness Analysis of Vision-Language-Action Models,2025,arXiv `2510.13626`; DOI `10.48550/arxiv.2510.13626`,2510.13626,10.48550/arxiv.2510.13626,arXiv exact ID; official GitHub README; official project page; DataCite exact DOI; OpenAlex exact DOI; OpenAIRE exact title; DataCite LIBERO-Plus DOI search; OpenAlex exact LIBERO-Plus term search; arXiv exact LIBERO-Plus term search,Canonical LIBERO-Plus benchmark seed work.,seed-work,"links: https://arxiv.org/abs/2510.13626; https://arxiv.org/pdf/2510.13626; https://github.com/sylvestf/LIBERO-plus; https://sylvestf.github.io/LIBERO-plus/; https://huggingface.co/datasets/Sylvest/LIBERO-plus; https://huggingface.co/datasets/Sylvest/libero_plus_rlds; https://huggingface.co/datasets/Sylvest/libero_plus_lerobot; https://huggingface.co/datasets/lerobot/libero_plus; https://huggingface.co/docs/lerobot/main/libero_plus; https://huggingface.co/Sylvest/openvla-7b-oft-finetuned-libero-plus-mixdata; https://openalex.org/W4415276858; https://doi.org/10.48550/arxiv.2510.13626; http://arxiv.org/abs/2510.13626 || source_ids: arXiv=2510.13626; DOI=10.48550/arxiv.2510.13626; OpenAlex=W4415276858; DataCite=10.48550/arxiv.2510.13626 || provenance: arXiv abs page and API identify arXiv:2510.13626, title, authors, submitted 2025-10-15, updated 2025-12-26. | Official README/project page describe LIBERO-Plus as a robustness benchmark with 10,030 tasks across seven perturbation dimensions. | OpenAlex DOI lookup https://api.openalex.org/works/https://doi.org/10.48550/arxiv.2510.13626 returned W4415276858 with cited_by_count=0. | CVPR 2026 program PDF lists title variant: LIBERO-Plus: A Progressive Robustness Benchmark for Visual-Language-Action Models, paper 223. | DataCite /dois?query=LIBERO-Plus returned DOI 10.48550/arxiv.2510.13626 and URL https://arxiv.org/abs/2510.13626. | OpenAlex exact-term query returned id=https://openalex.org/W4415276858, DOI=10.48550/arxiv.2510.13626, landing=http://arxiv.org/abs/2510.13626. | arXiv API arXiv API exact LIBERO-Plus query returned arXiv:2510.13626.",yes,2510.13626,https://arxiv.org/abs/2510.13626,arXiv abs page lists arXiv:2510.13626 with the exact title and DOI 10.48550/arXiv.2510.13626; submitted 2025-10-15 and revised 2025-12-26.,high,yes,reports-results,"Canonical LIBERO-Plus benchmark: seven perturbation dimensions, with success rates by Camera, Robot, Language, Light, Background, Noise, Layout, and Total.",not reported,"Table 2 reports total success rates: OpenVLA 15.6, OpenVLA-OFT 69.6, OpenVLA-OFT_w 55.8, NORA 39.0, WorldVLA 25.0, UniVLA 42.9, pi0 53.6, pi0-Fast 61.6, RIPT-VLA 68.4, OpenVLA-OFT_m 67.9, Ours 79.5. Ours per-dimension: Camera 92.8, Robot 30.3, Language 85.8, Light 94.9, Background 93.9, Noise 89.3, Layout 77.6.",arXiv HTML https://arxiv.org/html/2510.13626 Section 6/Table 2 'Robustness evaluation across perturbation dimensions' reports the listed LIBERO-Plus success rates.,high,Canonical benchmark seed work; paragraph text rounds/states Ours total as 79.6 while Table 2 lists 79.5.,arxiv_result_audit_2026-05-22_double:libero_plus_batch_01:A+B
LPLUS-001,LIBERO Plus,Affordance Field Intervention: Enabling VLAs to Escape Memory Traps in Robotic Manipulation,2025,arXiv `2512.07472`; DOI `10.48550/arxiv.2512.07472`,2512.07472,10.48550/arxiv.2512.07472,Semantic Scholar citation endpoint,"Semantic Scholar citation graph returned this work as citing arXiv:2510.13626. First citation context: Despite these advancements, VLA models encounter substantial challenges in generalization, frequently suc-cumbing to a “Memory Trap” [6, 7, 40].",indexed-citation,"links: https://www.semanticscholar.org/paper/8e86f9ca63cc1b2775fb3f21391a260d2cc2c71d; https://arxiv.org/abs/2512.07472; https://doi.org/10.48550/arxiv.2512.07472 || source_ids: S2=8e86f9ca63cc1b2775fb3f21391a260d2cc2c71d; Corpus=283694343; arXiv=2512.07472; DOI=10.48550/arxiv.2512.07472 || provenance: Semantic Scholar API S2 seed-citation endpoint returned citingPaper.paperId=8e86f9ca63cc1b2775fb3f21391a260d2cc2c71d, ArXiv=2512.07472, DOI=10.48550/arXiv.2512.07472.",yes,2512.07472,https://arxiv.org/abs/2512.07472,"arXiv abs page lists arXiv:2512.07472 with the exact title, authors Siyu Xu et al., submitted 2025-12-08, and DOI 10.48550/arXiv.2512.07472.",high,no,citation-only,n/a,n/a,None,"The paper reports LIBERO-Pro simulation results, not LIBERO-Plus results: Section 5.3/Table 2 describe LIBERO-Pro object-position perturbations on LIBERO-Spatial and LIBERO-Object. LIBERO-Plus appears only as a cited reference to arXiv:2510.13626.",high,Do not count the paper's LIBERO-Pro or ordinary LIBERO numbers for the LIBERO Plus row benchmark.,arxiv_result_audit_2026-05-22_double:libero_plus_batch_01:A+B
LPLUS-002,LIBERO Plus,AVA-VLA: Improving Vision-Language-Action models with Active Visual Attention,2025,arXiv `2511.18960`; DOI `10.48550/arxiv.2511.18960`,2511.18960,10.48550/arxiv.2511.18960,Semantic Scholar citation endpoint; official LIBERO-Plus README Research Works section,"Semantic Scholar citation graph returned this work as citing arXiv:2510.13626. First citation context: LIBERO+ [11] is a challenging LIBERO-based benchmark, which offers a robust benchmarking framework with 7 perturbation dimensions and 21 sub-dimensions.",indexed-citation,"links: https://www.semanticscholar.org/paper/bf94018d5eff3065895cb856eef16181bbe4f4e9; https://arxiv.org/abs/2511.18960; https://doi.org/10.48550/arxiv.2511.18960; https://arxiv.org/pdf/2511.18960 || source_ids: S2=bf94018d5eff3065895cb856eef16181bbe4f4e9; Corpus=283244064; arXiv=2511.18960; DOI=10.48550/arxiv.2511.18960 || provenance: Semantic Scholar API S2 seed-citation endpoint returned citingPaper.paperId=bf94018d5eff3065895cb856eef16181bbe4f4e9, ArXiv=2511.18960, DOI=10.48550/arXiv.2511.18960. | Official GitHub README Research Works Using LIBERO-Plus section lists AVA-VLA: Improving Vision-Language-Action models with Active Visual Attention (Avg 74.7).",yes,2511.18960,https://arxiv.org/abs/2511.18960,arXiv abs page lists arXiv:2511.18960 with the exact title and DOI 10.48550/arXiv.2511.18960; submitted 2025-11-24 and revised 2026-04-10.,high,yes,reports-results,"Appendix D.3 LIBERO+ robustness evaluation across seven perturbation types; Table 6 averages task success rates over LIBERO-Spatial, Object, Goal, and Long.","not reported for LIBERO+; the paper says the LIBERO+ experiments use the same AVA-VLA model trained for LIBERO, with no additional LIBERO+ demo count stated.","Table 6 reports AVA-VLA one policy for all 4 suites: Camera 55.5, Robot 25.9, Language 85.6, Light 95.5, Background 88.9, Noise 78.0, Layout 74.1, Average 70.1. One policy per suite: Camera 69.4, Robot 34.9, Language 81.5, Light 97.5, Background 94.1, Noise 79.1, Layout 78.3, Average 74.7.",arXiv PDF/HTML https://arxiv.org/html/2511.18960 Appendix D.3 and Table 6 'Model performance under different perturbations in the LIBERO+ benchmark' report the listed success rates.,high,The paper uses 'LIBERO+' for LIBERO-Plus and explicitly cites the LIBERO-Plus benchmark.,arxiv_result_audit_2026-05-22_double:libero_plus_batch_01:A+B
LPLUS-003,LIBERO Plus,DeepThinkVLA: Enhancing Reasoning Capability of Vision-Language-Action Models,2025,arXiv `2511.15669`; DOI `10.48550/arxiv.2511.15669`,2511.15669,10.48550/arxiv.2511.15669,Semantic Scholar citation endpoint; DataCite LIBERO-Plus DOI search; OpenAlex exact LIBERO-Plus term search; arXiv exact LIBERO-Plus term search,"Semantic Scholar citation graph returned this work as citing arXiv:2510.13626. First citation context: …ω i,j ( θ ) ˆ A i,j , where ω i,j ( θ ) is the the importance ratio for token a j ∈ [ A 0 , . . . , A T ] in trajectory i By maximizing J final , the VLA simultaneously refines its reasoning and action abilities, with both aligned toward the singular goal of maximizing the final task success rate.",indexed-citation,"links: https://www.semanticscholar.org/paper/0a512b2812957d22204b4bea5747461e8163bb7d; https://arxiv.org/abs/2511.15669; https://doi.org/10.48550/arxiv.2511.15669; https://openalex.org/W7106476688; https://arxiv.org/pdf/2511.15669; https://openalex.org/W7106290254 || source_ids: S2=0a512b2812957d22204b4bea5747461e8163bb7d; Corpus=283103793; arXiv=2511.15669; DOI=10.48550/arxiv.2511.15669; OpenAlex=W7106290254/W7106476688; DataCite=10.48550/arxiv.2511.15669 || provenance: Semantic Scholar API S2 seed-citation endpoint returned citingPaper.paperId=0a512b2812957d22204b4bea5747461e8163bb7d, ArXiv=2511.15669, DOI=10.48550/arXiv.2511.15669. | DataCite /dois?query=LIBERO-Plus returned DOI 10.48550/arxiv.2511.15669 and URL https://arxiv.org/abs/2511.15669. | OpenAlex exact-term query returned id=https://openalex.org/W7106476688, DOI=, landing=https://arxiv.org/abs/2511.15669. | OpenAlex exact-term query returned id=https://openalex.org/W7106290254, DOI=10.48550/arxiv.2511.15669, landing=https://doi.org/10.48550/arxiv.2511.15669. | arXiv API arXiv API exact LIBERO-Plus query returned arXiv:2511.15669.",yes,2511.15669,https://arxiv.org/abs/2511.15669,arXiv abs page lists arXiv:2511.15669 with the exact title and DOI 10.48550/arXiv.2511.15669; submitted 2025-10-31 and revised 2026-04-20.,high,yes,reports-results,Zero-shot robustness on LIBERO-Plus with seven perturbation dimensions and no adaptation.,not reported,"Table 3 DeepThinkVLA (Qwen3-VL): Camera 63.7, Robot-Init 38.8, Language 81.5, Light 94.7, Background 92.4, Noise 89.8, Layout 77.8, Total 77.0. DeepThinkVLA (pi0-FAST): Camera 88.5, Robot-Init 40.5, Language 84.5, Light 90.0, Background 75.3, Noise 94.4, Layout 79.9, Total 79.0.",arXiv PDF/HTML Table 3 is titled zero-shot robustness on LIBERO-Plus and the results paragraph states DeepThinkVLA achieves 79.0 overall on the seven-dimension robustness benchmark.,high,Direct LIBERO-Plus numeric results are present.,arxiv_result_audit_2026-05-22_double:libero_plus_batch_01:A+B
LPLUS-004,LIBERO Plus,LAOF: Robust Latent Action Learning with Optical Flow Constraints,2025,arXiv `2511.16407`; DOI `10.48550/arxiv.2511.16407`,2511.16407,10.48550/arxiv.2511.16407,Semantic Scholar citation endpoint,Semantic Scholar citation graph returned this work as citing arXiv:2510.13626.,indexed-citation,"links: https://www.semanticscholar.org/paper/58ee28b8712b8ba512b7d65e7c3ae37ffbaa6548; https://arxiv.org/abs/2511.16407; https://doi.org/10.48550/arxiv.2511.16407 || source_ids: S2=58ee28b8712b8ba512b7d65e7c3ae37ffbaa6548; Corpus=283110282; arXiv=2511.16407; DOI=10.48550/arxiv.2511.16407 || provenance: Semantic Scholar API S2 seed-citation endpoint returned citingPaper.paperId=58ee28b8712b8ba512b7d65e7c3ae37ffbaa6548, ArXiv=2511.16407, DOI=10.48550/arXiv.2511.16407.",yes,2511.16407,https://arxiv.org/abs/2511.16407,"arXiv abs page lists arXiv:2511.16407 with the exact title, authors Xizhou Bu et al., submitted 2025-11-20 and revised 2026-03-21, and DOI 10.48550/arXiv.2511.16407.",high,yes,reports-results,Appendix A.2 LIBERO-Plus experiments; Table 5 says models were trained on mixture data (2M samples) and evaluated under Light and Background conditions.,"not reported; paper states mixture data (2M samples), not demos per task.","Table 5 reports LIBERO-Plus performance: LAPO 43.4, LAOF-R 63.5, LAOF-S 68.3, LAOF-Delta 57.7. Table 4 also reports LIBERO-Plus CCA Action/Noise: RAFT 0.67/0.03, SEA-RAFT 0.68/0.03, Delta-DINOv2 0.43/0.03.",arXiv HTML/PDF https://arxiv.org/html/2511.16407 Table 5 'Experimental results of different optical flow models on LIBERO-Plus and Real-World' and Appendix A.2 report the LIBERO-Plus numbers.,high,"Direct LIBERO-Plus numeric results are present, but the protocol is limited to Light and Background conditions rather than a full seven-dimension LIBERO-Plus table.",arxiv_result_audit_2026-05-22_double:libero_plus_batch_01:A+B
LPLUS-005,LIBERO Plus,MergeVLA: Cross-Skill Model Merging Toward a Generalist Vision-Language-Action Agent,2025,arXiv `2511.18810`; DOI `10.48550/arxiv.2511.18810`,2511.18810,10.48550/arxiv.2511.18810,Semantic Scholar citation endpoint; DataCite LIBERO-Plus DOI search; OpenAlex exact LIBERO-Plus term search; arXiv exact LIBERO-Plus term search; OpenReview LIBERO-Plus search; official LIBERO-Plus README Research Works section,"Semantic Scholar citation graph returned this work as citing arXiv:2510.13626. First citation context: 2) is a principled response to nonmergeability diagnosis, introducing two key modifications: These two architectural changes alone are remarkably effective, achieving an 13.4% higher success rate on the out-of-distribution (OOD) LIBERO-Plus [15] testbed.",indexed-citation,"links: https://www.semanticscholar.org/paper/437ece33e81269956c8d5eac98a1bd25bb1e7125; https://arxiv.org/abs/2511.18810; https://doi.org/10.48550/arxiv.2511.18810; https://openalex.org/W7106782710; http://arxiv.org/abs/2511.18810; https://arxiv.org/pdf/2511.18810; https://openalex.org/W7106678340; https://openreview.net/forum?id=hqznkJcXwG; https://arxiv.org/pdf/2511.18810v1 || source_ids: S2=437ece33e81269956c8d5eac98a1bd25bb1e7125; Corpus=283244977; arXiv=2511.18810; DOI=10.48550/arxiv.2511.18810; OpenAlex=W7106678340/W7106782710; DataCite=10.48550/arxiv.2511.18810; OpenReview=hqznkJcXwG || provenance: Semantic Scholar API S2 seed-citation endpoint returned citingPaper.paperId=437ece33e81269956c8d5eac98a1bd25bb1e7125, ArXiv=2511.18810, DOI=10.48550/arXiv.2511.18810. | DataCite /dois?query=LIBERO-Plus returned DOI 10.48550/arxiv.2511.18810 and URL https://arxiv.org/abs/2511.18810. | OpenAlex exact-term query returned id=https://openalex.org/W7106782710, DOI=, landing=http://arxiv.org/abs/2511.18810. | OpenAlex exact-term query returned id=https://openalex.org/W7106678340, DOI=10.48550/arxiv.2511.18810, landing=https://doi.org/10.48550/arxiv.2511.18810. | arXiv API arXiv API exact LIBERO-Plus query returned arXiv:2511.18810. | OpenReview API note id=hqznkJcXwG, forum=hqznkJcXwG; abstract snippet: Recent Vision-Language-Action (VLA) models reformulate vision-language models by tuning them with millions of robotic demonstrations. While they perform well when fine-tuned for a single embodiment or task family, extending them to multi-skill settings remains challenging: directly merging VLA experts trained on different tasks results in near-zero success rates. This raises a fundamental question: what prevents V... | Official GitHub README Research Works Using LIBERO-Plus section lists MergeVLA: Cross-Skill Model Merging Toward a Generalist Vision-Language-Action Agent (Avg 72.2).",yes,2511.18810,https://arxiv.org/abs/2511.18810,arXiv abs page lists arXiv:2511.18810 with the exact title and DOI 10.48550/arXiv.2511.18810; submitted 2025-11-24 and revised 2026-03-11.,high,yes,reports-results,Section 5.3 results on LIBERO-Plus; LIBERO-trained models are directly tested on shifted LIBERO-Plus environments without additional fine-tuning. Success rates are averaged over four task suites for S1-S7 shifts.,not reported,"Table 2 single-task MergeVLA on LIBERO-Plus: S1 92.7, S2 62.4, S3 75.7, S4 92.7, S5 73.7, S6 46.4, S7 74.7, Avg 72.4. Merged MergeVLA variants: TSV Avg 53.5, TA Avg 61.6, TIES Avg 62.5.",arXiv PDF/HTML Section 5.3 and Table 2 report robustness of models under visual and language shifts on LIBERO-Plus with numeric success rates.,high,"Direct LIBERO-Plus numeric results are present; the official README's 72.2 appears to be a rounded/variant summary, while the arXiv table shows 72.4 for single-task MergeVLA.",arxiv_result_audit_2026-05-22_double:libero_plus_batch_01:A+B
LPLUS-006,LIBERO Plus,πRL: Online RL Fine-tuning for Flow-based Vision-Language-Action Models,2025,DOI `10.48550/arxiv.2510.25889`,,10.48550/arxiv.2510.25889,Semantic Scholar citation endpoint,"Semantic Scholar citation graph returned this work as citing arXiv:2510.13626. First citation context: However, reliance on SFT introduces a critical challenge: curating large-scale, high-quality expert trajectories is both laborious and costly (Din et al., 2025), and the models obtained via SFT tend to overfit to expert demonstrations (Fei et al., 2025).",indexed-citation,"links: https://www.semanticscholar.org/paper/22d666992e8da2f3cedeece71495e9492d0844ad; https://doi.org/10.48550/arxiv.2510.25889 || source_ids: S2=22d666992e8da2f3cedeece71495e9492d0844ad; Corpus=283070571; DOI=10.48550/arxiv.2510.25889 || provenance: Semantic Scholar API S2 seed-citation endpoint returned citingPaper.paperId=22d666992e8da2f3cedeece71495e9492d0844ad, ArXiv=, DOI=10.48550/arXiv.2510.25889.",yes,2510.25889,https://arxiv.org/abs/2510.25889,"arXiv abs page lists arXiv:2510.25889 with the title '$pi_texttt{RL}$: Online RL Fine-tuning for Flow-based Vision-Language-Action Models', submitted 2025-10-29 and revised 2026-01-29, and DOI 10.48550/arXiv.2510.25889.",high,no,citation-only,n/a,n/a,None,"The paper reports ordinary LIBERO results, e.g. Table 3 over LIBERO Spatial/Object/Goal/Long, and states OOD generalization is evaluated on ManiSkill, CALVIN, and MetaWorld because LIBERO lacks a dedicated OOD interface. LIBERO-Plus appears only as a cited reference to arXiv:2510.13626 in the checked PDF text.",high,Do not count ordinary LIBERO success rates for the LIBERO Plus benchmark row.,arxiv_result_audit_2026-05-22_double:libero_plus_batch_01:A+B
LPLUS-007,LIBERO Plus,SpecPrune-VLA: Accelerating Vision-Language-Action Models via Action-Aware Self-Speculative Pruning,2025,arXiv `2509.05614`; DOI `10.48550/arxiv.2509.05614`,2509.05614,10.48550/arxiv.2509.05614,Semantic Scholar citation endpoint; OpenReview LIBERO-Plus search,Semantic Scholar citation graph returned this work as citing arXiv:2510.13626.,indexed-citation,"links: https://www.semanticscholar.org/paper/e5e4c5f50fef44a34d1235659e2cdb6cf3db5a6b; https://arxiv.org/abs/2509.05614; https://doi.org/10.48550/arxiv.2509.05614; https://openreview.net/forum?id=t85Ni0LwjC; https://openreview.net/pdf/f898de78034757b0bb38f30b7b6fd21bca97b4ad.pdf || source_ids: S2=e5e4c5f50fef44a34d1235659e2cdb6cf3db5a6b; Corpus=281202916; arXiv=2509.05614; DOI=10.48550/arxiv.2509.05614; OpenReview=t85Ni0LwjC || provenance: Semantic Scholar API S2 seed-citation endpoint returned citingPaper.paperId=e5e4c5f50fef44a34d1235659e2cdb6cf3db5a6b, ArXiv=2509.05614, DOI=10.48550/arXiv.2509.05614. | OpenReview API note id=t85Ni0LwjC, forum=t85Ni0LwjC; abstract snippet: Pruning is a typical acceleration technique for compute-bound models by removing computation on unimportant values. Recently, it has been applied to accelerate Vision-Language-Action (VLA) model inference. However, existing methods focus on local information from the current action step and ignore the global context, leading to $>20$% success rate drop and limited speedup in some scenarios. In this paper, we point...",yes,2509.05614,https://arxiv.org/abs/2509.05614,arXiv abs page lists arXiv:2509.05614 with the exact title and DOI 10.48550/arXiv.2509.05614; submitted 2025-09-06 and revised 2026-02-09.,high,yes,reports-results,"LIBERO-plus robustness check with prune ratio alpha=0.8 on 200 sampled tasks with perturbations to camera viewpoint, light condition, background, and noise.",not reported,"Figure 10 reports OpenVLA-OFT vs Ours success rates: Camera 96.0 vs 95.0, Light 88.5 vs 87.8, Background 95.0 vs 95.0, Noise 97.0 vs 97.0, Average 94.1 vs 93.8.",arXiv PDF/HTML Section 7.6 generalization and robustness analysis states experiments on LIBERO-plus with alpha=0.8 and 200 tasks; Figure 10 contains the listed success rates.,high,"The paper samples 200 LIBERO-plus tasks and covers four perturbation dimensions, not the full official seven-dimension LIBERO-Plus benchmark.",arxiv_result_audit_2026-05-22_double:libero_plus_batch_01:A+B
LPLUS-008,LIBERO Plus,SRPO: Self-Referential Policy Optimization for Vision-Language-Action Models,2025,arXiv `2511.15605`; DOI `10.48550/arxiv.2511.15605`,2511.15605,10.48550/arxiv.2511.15605,Semantic Scholar citation endpoint; DataCite LIBERO-Plus DOI search; OpenAlex exact LIBERO-Plus term search; arXiv exact LIBERO-Plus term search; official LIBERO-Plus README Research Works section,"Semantic Scholar citation graph returned this work as citing arXiv:2510.13626. First citation context: Experimental results demonstrate that our method achieves state-of-the-art performance on the LIBERO benchmark and exhibits strong generalization capabilities on LIBERO-Plus, while eliminating the need for additional supervision during RL training, establishing a new paradigm for autonomous VLA learning.",indexed-citation,"links: https://www.semanticscholar.org/paper/e9d3b2a3021b61f43b23a231a57bc981598fd14d; https://arxiv.org/abs/2511.15605; https://doi.org/10.48550/arxiv.2511.15605; https://openalex.org/W7106319913; https://openalex.org/W7106476200; http://arxiv.org/abs/2511.15605; https://arxiv.org/pdf/2511.15605 || source_ids: S2=e9d3b2a3021b61f43b23a231a57bc981598fd14d; Corpus=283103754; arXiv=2511.15605; DOI=10.48550/arxiv.2511.15605; OpenAlex=W7106319913/W7106476200; DataCite=10.48550/arxiv.2511.15605 || provenance: Semantic Scholar API S2 seed-citation endpoint returned citingPaper.paperId=e9d3b2a3021b61f43b23a231a57bc981598fd14d, ArXiv=2511.15605, DOI=10.48550/arXiv.2511.15605. | DataCite /dois?query=LIBERO-Plus returned DOI 10.48550/arxiv.2511.15605 and URL https://arxiv.org/abs/2511.15605. | OpenAlex exact-term query returned id=https://openalex.org/W7106319913, DOI=10.48550/arxiv.2511.15605, landing=https://doi.org/10.48550/arxiv.2511.15605. | OpenAlex exact-term query returned id=https://openalex.org/W7106476200, DOI=, landing=http://arxiv.org/abs/2511.15605. | arXiv API arXiv API exact LIBERO-Plus query returned arXiv:2511.15605. | Official GitHub README Research Works Using LIBERO-Plus section lists SRPO: Self-Referential Policy Optimization for Vision-Language-Action Models (Avg 82.1).",yes,2511.15605,https://arxiv.org/abs/2511.15605,arXiv abs page lists arXiv:2511.15605 with the exact title and DOI 10.48550/arXiv.2511.15605; submitted 2025-11-19 and revised 2025-11-30.,high,yes,reports-results,LIBERO-Plus robustness evaluation with seven perturbation dimensions; Table 2 reports Zero-Shot and With Augmented Data settings.,OpenVLA*-One refers to one-traj-per-task SFT; augmented-data setting demos per task not reported,"Table 2 + Online SRPO zero-shot: Camera 17.1, Robot-Init 51.0, Language 81.8, Light 70.4, Background 88.9, Noise 35.3, Layout 72.4, Total 59.6. With Augmented Data + Online SRPO: Camera 83.4, Robot-Init 62.0, Language 73.6, Light 97.2, Background 97.7, Noise 85.7, Layout 75.2, Total 82.1.",arXiv PDF/HTML Table 2 is titled robustness evaluation on LIBERO-Plus benchmark and reports numeric success rates for zero-shot and augmented-data settings.,high,Direct LIBERO-Plus numeric results are present; the 82.1 total is the augmented-data setting.,arxiv_result_audit_2026-05-22_double:libero_plus_batch_01:A+B
LPLUS-009,LIBERO Plus,VLA-Arena: An Open-Source Framework for Benchmarking Vision-Language-Action Models,2025,arXiv `2512.22539`; DOI `10.48550/arxiv.2512.22539`,2512.22539,10.48550/arxiv.2512.22539,Semantic Scholar citation endpoint,"Semantic Scholar citation graph returned this work as citing arXiv:2510.13626. First citation context: As recent work has shown, performance on many LIBERO tasks is largely saturated [8, 10, 55].",indexed-citation,"links: https://www.semanticscholar.org/paper/7988ea35a13c6b9f7e49f6122a80e162ea350e79; https://arxiv.org/abs/2512.22539; https://doi.org/10.48550/arxiv.2512.22539 || source_ids: S2=7988ea35a13c6b9f7e49f6122a80e162ea350e79; Corpus=284311206; arXiv=2512.22539; DOI=10.48550/arxiv.2512.22539 || provenance: Semantic Scholar API S2 seed-citation endpoint returned citingPaper.paperId=7988ea35a13c6b9f7e49f6122a80e162ea350e79, ArXiv=2512.22539, DOI=10.48550/arXiv.2512.22539.",yes,2512.22539,https://arxiv.org/abs/2512.22539,"arXiv abs page lists arXiv:2512.22539 with the exact title, authors Borong Zhang et al., submitted 2025-12-27, and DOI 10.48550/arXiv.2512.22539.",high,no,citation-only,n/a,n/a,None,"arXiv PDF https://arxiv.org/pdf/2512.22539 mentions LIBERO-Plus in the introduction as a recent perceptual-robustness benchmark and in references, but reported numeric results are for VLA-Arena and a comparison with ordinary LIBERO, not LIBERO-Plus.",high,"arXiv HTML endpoint returned 404, so PDF text was used for result audit. No LIBERO-Plus numeric result found.",arxiv_result_audit_2026-05-22_double:libero_plus_batch_01:A+B
